,Synset,Glosa
818,100180962,norbait hautatzea
819,100181191,
820,100181373,
821,100181495,
822,100181640,sufragio unibertsalaren bidez hiritar guztiei ordezkari politikoek aldez aurretik prestatutako proposamena onartzea edo gaitzestea ahalbidetzen dien bozketa-prozedura
823,100181781,hauteskunde politiko batean hautagaietako bat aukeratzea
824,100182213,
825,100182435,
826,100182571,
827,100182723,
828,100182897,
829,100183084,
830,100183240,
831,100183357,
832,100183505,"hauteskundeetan edo bozketa batean, norbaiten nahiaren adierazpidea"
833,100183995,None
834,100184135,None
835,100184362,
836,100184501,
837,100184652,
838,100184802,
839,100184981,
840,100185104,
841,100185307,
842,100185438,
843,100185612,None
844,100185778,
845,100186251,None
846,100186549,
847,100186634,joko nahiz kirol batean puntuak lortzearen ekintza
848,100187056,
849,100187144,
850,100187337,
851,100187499,None
852,100187710,
853,100187890,
854,100188007,
855,100188183,None
856,100188341,
857,100188449,
858,100188620,
859,100188766,
860,100188934,
861,100189106,
862,100189257,None
863,100189476,
864,100189565,
865,100189896,
866,100190040,
867,100190180,
868,100190338,
869,100190431,
870,100190579,None
871,100190783,None
872,100190931,None
873,100191142,zerbait aldatzearen ekintza
874,100191980,None
875,100192149,None
876,100192300,
877,100192457,None
878,100192613,
879,100192910,
880,100193099,None
881,100193225,
882,100193406,
883,100193622,None
884,100193811,None
885,100194005,
886,100194127,
887,100194257,
888,100194414,
889,100194645,
890,100194831,
891,100194969,arau edo ardatza saihesten duen aktibitatea
892,100195194,None
893,100195415,
894,100195569,
895,100195938,
896,100196084,
897,100196402,
898,100196485,
899,100196848,None
900,100197136,
901,100197229,None
902,100197419,
903,100197610,
904,100197772,
905,100198118,None
906,100198270,
907,100198451,
908,100198631,
909,100198793,
910,100198919,None
911,100199130,zerbaiten oinarrizko ezaugarriren bat aldatzearen gertakaria
912,100199707,
913,100200041,
914,100200244,
915,100200379,None
916,100200563,
917,100200768,None
918,100201058,
919,100201269,
920,100201397,None
921,100201516,
922,100201671,
923,100201923,None
924,100202284,
925,100202620,
926,100202816,gustuko ez den zerbaiten kontra zerbait egitea
927,100203020,
928,100203208,
929,100203342,
930,100203649,
931,100203753,
932,100204022,
933,100204199,
934,100204334,None
935,100204439,
936,100204659,
937,100204814,
938,100204943,antolakunde bat bat-batean uztea
939,100205079,
940,100205349,
941,100205543,
942,100205649,
943,100205891,
944,100206130,
945,100206302,
946,100206600,None
947,100206779,
948,100206927,
949,100207306,None
950,100207434,
951,100207622,
952,100207761,
953,100208141,None
954,100208277,
955,100208521,
956,100208694,None
957,100208797,
958,100208943,
959,100209132,
960,100209301,None
961,100209446,
962,100209546,
963,100209680,
964,100209789,None
965,100209943,zerbait amaitzearen ekintza
966,100210518,
967,100210797,
968,100210940,
969,100211110,zerbait burutzearen ekintza
970,100211462,
971,100211593,
972,100211776,None
973,100212065,
974,100212205,
975,100212377,
976,100212551,None
977,100212678,
978,100212808,
979,100213052,
980,100213186,
981,100213343,
982,100213482,"gobernu batek bere lurraldean errefuxiatu den pertsona bat beste estatu bateko gobernu bati, honek eskaturik, entregatzea"
983,100213694,
984,100213903,
985,100214148,
986,100214315,None
987,100214526,None
988,100214794,None
989,100215013,None
990,100215314,
991,100215534,None
992,100215683,
993,100215838,
994,100216038,
995,100216174,
996,100216607,
997,100216723,
998,100216834,None
999,100217014,
1000,100217499,
1001,100217593,
1002,100217773,
1003,100218045,
1004,100218208,
1005,100218427,
1006,100218602,
1007,100218753,
1008,100218902,
1009,100219012,norbaiten biziari erabateko eta betirako etena ematea
1010,100219463,
1011,100219575,
1012,100219738,None
1013,100219856,
1014,100220023,
1015,100220219,None
1016,100220409,
1017,100220522,
1018,100221056,
1019,100221178,
1020,100221343,
1021,100221480,None
1022,100221596,
1023,100221727,None
1024,100221819,
1025,100221900,
1026,100221981,
1027,100222064,None
1028,100222155,None
1029,100222248,
1030,100222376,
1031,100222485,
1032,100222766,None
1033,100222939,
1034,100223144,None
1035,100223268,
1036,100223362,
1037,100223575,
1038,100223720,
1039,100223854,
1040,100223983,
1041,100224260,
1042,100224599,
1043,100224738,
1044,100224936,
1045,100225070,
1046,100225150,
1047,100225361,
1048,100225484,
1049,100225593,
1050,100225786,
1051,100226107,
1052,100226319,None
1053,100226511,
1054,100226711,
1055,100226951,None
1056,100227137,None
1057,100227264,
1058,100227484,None
1059,100227595,
1060,100227848,
1061,100227969,
1062,100228078,
1063,100228181,
1064,100228283,
1065,100228535,
1066,100228762,
1067,100228911,
1068,100229034,None
1069,100229260,
1070,100229587,
1071,100229688,
1072,100229814,
1073,100229934,
1074,100230172,
1075,100230324,
1076,100230475,
1077,100230703,
1078,100230824,None
1079,100230997,
1080,100231161,
1081,100231315,
1082,100231412,
1083,100231567,
1084,100231887,
1085,100232147,None
1086,100232386,
1087,100232604,
1088,100232765,
1089,100232863,
1090,100233212,
1091,100233386,
1092,100233614,
1093,100233795,
1094,100233980,None
1095,100234105,
1096,100234277,
1097,100234423,
1098,100234675,None
1099,100234892,
1100,100235074,
1101,100235208,
1102,100235435,zerbaiti hasiera emateko ekintza
1103,100236194,None
1104,100236581,
1105,100236821,
1106,100236953,
1107,100237078,osatzea (ekintza eta ondorioa)
1108,100237705,None
1109,100237869,
1110,100238022,pelikula edota liburu berri bat aurkezteko ekintza
1111,100238326,None
1112,100238527,None
1113,100238778,None
1114,100238871,None
1115,100239024,
1116,100239230,
1117,100239483,
1118,100239666,None
1119,100239766,None
1120,100239910,
1121,100240184,
1122,100240754,None
1123,100240938,
1124,100241245,
1125,100241507,
1126,100241699,
1127,100242003,
1128,100242146,
1129,100242431,
1130,100242583,
1131,100242808,
1132,100243102,
1133,100243237,
1134,100243373,
1135,100243577,
1136,100243662,
1137,100243813,None
1138,100243918,
1139,100246341,
1140,100246460,
1141,100246552,
1142,100246754,
1143,100246940,
1144,100247081,None
1145,100247229,
1146,100247342,
1147,100247442,
1148,100247654,
1149,100247792,
1150,100247955,
1151,100248063,
1152,100248252,None
1153,100248368,
1154,100248534,
1155,100248636,
1156,100248748,None
1157,100248977,
1158,100249501,mailakako garapena
1159,100249780,
1160,100249987,
1161,100250143,None
1162,100250259,zerbait edo norbait gero eta perfekzio- edo konplexutasun-maila handiagoa duten egoeren segida batetik igarotzea edo igoaraztea
1163,100250597,
1164,100250710,
1165,100250882,None
1166,100251013,
1167,100251520,
1168,100251636,
1169,100251780,
1170,100252020,
1171,100252169,
1172,100252307,
1173,100252430,
1174,100252662,
1175,100252894,
1176,100253070,None
1177,100253270,
1178,100253395,
1179,100253577,
1180,100253773,
1181,100253919,
1182,100254166,
1183,100254415,
1184,100254597,None
1185,100254769,
1186,100254922,
1187,100255065,None
1188,100255214,
1189,100255450,None
1190,100255600,
1191,100255710,
1192,100256122,
1193,100256217,
1194,100256309,
1195,100256407,
1196,100256501,
1197,100256620,
1198,100256746,
1199,100256961,
1200,100257115,
1201,100257228,
1202,100257468,None
1203,100257580,
1204,100257770,
1205,100257969,
1206,100258093,None
1207,100258301,
1208,100258403,
1209,100258530,
1210,100258695,
1211,100258854,oker edo gaizki dagoena zuzentzea; gaizki dagoena zuzentzeko egiten den aldaketa
1212,100259177,
1213,100259392,
1214,100259544,
1215,100259643,
1216,100259894,None
1217,100260051,None
1218,100260494,
1219,100260622,zerbait hobetzeko asmoz eginiko aldaketen multzoa
1220,100260881,
1221,100261029,
1222,100261258,
1223,100261405,
1224,100261604,
1225,100261797,None
1226,100261972,
1227,100262249,
1228,100262596,
1229,100262743,
1230,100262908,
1231,100263000,
1232,100263164,
1233,100263272,
1234,100263353,
1235,100263492,None
1236,100263642,
1237,100263813,
1238,100263947,
1239,100264088,
1240,100264192,
1241,100264366,
1242,100264529,
1243,100264775,
1244,100264913,moderno bihurtzearen ondorio edo ekintza
1245,100265119,
1246,100265472,
1247,100265773,None
1248,100265992,
1249,100266149,
1250,100266253,
1251,100266401,
1252,100266560,
1253,100266645,
1254,100266806,konpontzea (ekintza eta ondorioa)
1255,100267217,
1256,100267349,
1257,100267522,
1258,100267821,
1259,100267917,
1260,100268025,
1261,100268112,
1262,100268341,
1263,100268457,
1264,100268557,
1265,100268824,None
1266,100269018,
1267,100269258,
1268,100269471,None
1269,100269674,None
1270,100269856,
1271,100269963,None
1272,100270186,
1273,100270275,
1274,100270403,
1275,100270539,
1276,100270648,None
1277,100270800,
1278,100270919,
1279,100271155,
1280,100271263,
1281,100271636,
1282,100271879,
1283,100272123,
1284,100272303,
1285,100272448,
1286,100272713,
1287,100272878,
1288,100273077,
1289,100273319,None
1290,100273449,
1291,100273601,
1292,100273690,
1293,100273877,
1294,100274009,
1295,100274206,None
1296,100274437,
1297,100274586,None
1298,100274707,
1299,100274941,
1300,100275151,
1301,100275307,
1302,100275424,
1303,100275572,
1304,100275751,
1305,100276189,None
1306,100276342,
1307,100276620,
1308,100276813,
1309,100276987,
1310,100277267,
1311,100277376,
1312,100277569,
1313,100277811,
1314,100278040,
1315,100278221,
1316,100278403,
1317,100278555,
1318,100278810,
1319,100279136,
1320,100279235,
1321,100279377,None
1322,100279534,None
1323,100279674,
1324,100279835,
1325,100280586,
1326,100280853,
1327,100281132,
1328,100281291,
1329,100281462,
1330,100281752,
1331,100281898,
1332,100282050,
1333,100282485,
1334,100282613,
1335,100282840,
1336,100282953,
1337,100283127,
1338,100283450,
1339,100283568,
1340,100283951,
1341,100284101,nonbaitetik lasai ibiltzea
1342,100284409,None
1343,100284544,
1344,100284665,
1345,100284798,
1346,100285141,
1347,100285387,
1348,100285557,"ibiltzean, gorputzaren euste-puntua oin batetik bestera pasatzea; direlako ekintzen segida"
1349,100285889,
1350,100286112,None
1351,100286240,
1352,100286360,
1353,100286497,
1354,100286756,
1355,100286957,
1356,100287142,
1357,100287276,
1358,100287449,
1359,100287561,
1360,100287762,
1361,100287889,
1362,100288000,
1363,100288190,
1364,100288384,
1365,100288486,
1366,100288671,
1367,100288880,
1368,100288970,
1369,100289175,
1370,100289267,
1371,100289388,
1372,100289555,
1373,100289659,
1374,100289737,None
1375,100289906,
1376,100290015,
1377,100290125,
1378,100290276,
1379,100290406,
1380,100290579,pauso erregularrak emanez ibiltzea
1381,100291004,None
1382,100291154,
1383,100291286,None
1384,100291400,None
1385,100291663,
1386,100291796,
1387,100291876,
1388,100291965,
1389,100292125,
1390,100292269,
1391,100292386,None
1392,100292599,kanpora ibilaldi labur bat egin eta itzultzea
1393,100292712,
1394,100292981,
1395,100293125,
1396,100293307,
1397,100293417,
1398,100293545,
1399,100293657,
1400,100293753,None
1401,100293916,
1402,100294190,
1403,100294366,
1404,100294452,
1405,100294577,None
1406,100294748,
1407,100294868,
1408,100295172,zirkuitu bati bira osoa ematea
1409,100295422,
1410,100295563,None
1411,100295701,
1412,100296263,
1413,100296478,
1414,100296585,
1415,100296946,
1416,100297062,
1417,100297318,None
1418,100297404,
1419,100297532,
1420,100297657,
1421,100297863,
1422,100297951,
1423,100298047,
1424,100298161,
1425,100298351,None
1426,100298497,
1427,100299112,None
1428,100299217,
1429,100299680,
1430,100299826,
1431,100299933,
1432,100300037,
1433,100300113,
1434,100300206,
1435,100300333,
1436,100300441,
1437,100301192,
1438,100301443,None
1439,100301598,None
1440,100301728,
1441,100301857,
1442,100302001,
1443,100302185,
1444,100302394,
1445,100302861,
1446,100303049,None
1447,100303221,
1448,100303297,
1449,100303495,
1450,100303748,
1451,100303849,
1452,100304040,None
1453,100304208,None
1454,100304349,
1455,100304442,None
1456,100304592,
1457,100304729,
1458,100304851,
1459,100305005,
1460,100305153,
1461,100305326,None
1462,100305519,
1463,100305707,
1464,100305858,
1465,100305980,
1466,100306102,
1467,100306210,
1468,100306318,
1469,100306426,"eskuarki leku aski urrunera, lehorrez, itsasoz nahiz airez egiten den desplazamendua"
1470,100306900,bidaia batean geldiunetik geldiunera egiten den bidea
1471,100307102,None
1472,100307176,
1473,100307314,
1474,100307455,None
1475,100307631,
1476,100308073,
1477,100308208,None
1478,100308279,
1479,100308370,helburu batzuekin egindako bidaia
1480,100308681,None
1481,100308779,
1482,100308871,
1483,100309011,
1484,100309115,
1485,100309276,
1486,100309368,
1487,100309540,None
1488,100309647,
1489,100309802,
1490,100309906,
1491,100310063,
1492,100310201,
1493,100310347,
1494,100310425,None
1495,100310516,
1496,100310666,
1497,100311091,
1498,100311195,None
1499,100311381,None
1500,100311528,
1501,100311687,
1502,100311809,
1503,100312160,
1504,100312266,txango labur bat (oinez ala gidatuz)
1505,100312403,None
1506,100312553,
1507,100312691,"abiapuntu batetik helmuga jakin baterainoko desplazamendua, bidaia"
1508,100312784,
1509,100312932,
1510,100313096,None
1511,100313245,
1512,100313385,
1513,100313502,
1514,100313647,
1515,100313806,
1516,100313971,
1517,100314094,
1518,100314271,None
1519,100314395,
1520,100314469,
1521,100315307,
1522,100315390,
1523,100315534,
1524,100315700,
1525,100315830,None
1526,100315986,
1527,100316460,
1528,100316594,
1529,100316806,None
1530,100316989,
1531,100317207,
1532,100317485,None
1533,100317594,
1534,100317709,None
1535,100317917,
1536,100318035,
1537,100318186,None
1538,100318391,
1539,100318567,
1540,100318735,
1541,100319176,
1542,100319312,
1543,100319513,None
1544,100319608,
1545,100319717,
1546,100319825,
1547,100319939,
1548,100320284,
1549,100320486,
1550,100320625,
1551,100320742,
1552,100320852,
1553,100321195,
1554,100321562,None
1555,100321731,
1556,100321956,
1557,100322228,
1558,100322391,
1559,100322488,
1560,100322634,
1561,100322778,None
1562,100322962,
1563,100323056,
1564,100323152,
1565,100323262,
1566,100323436,
1567,100323532,
1568,100323766,None
1569,100323923,None
1570,100324056,
1571,100324233,
1572,100324384,goranzko lekualdaketa egitearen ekintza
1573,100324699,None
1574,100324834,
1575,100324978,None
