,Synset16,PoS,Palabra,TagCount
345,06416695,n,Viña_del_Mar,1
346,50004905,n,gobernabilidad,4
347,03459836,n,sistema,11
348,50001286,n,pluralismo,2
349,04032289,n,derechos_humanos,10
350,10081855,n,libertad,2
351,03993027,n,marco,1
352,04586952,n,objetivo,23
353,06002286,n,institución,16
354,04590255,n,cultura,4
355,05043129,n,declaración,22
356,03730389,n,igualdad,3
357,10390345,n,oportunidad,10
358,00047814,n,comercio,4
359,05481414,n,transformación,1
360,03733407,n,desigualdad,1
361,10041308,n,exclusión,2
362,10397144,n,pobreza,2
363,03803876,n,corrupción,4
364,00490349,n,terrorismo,5
365,00722484,n,narcotráfico,11
366,00809976,n,lavado,1
367,09534064,n,dinero,2
368,04003291,n,valor,8
369,04904589,n,ley,25
370,03858780,n,estructura,1
371,03779450,n,transparencia,5
372,02975720,n,medio,17
373,00712138,n,financiación,7
374,00409314,n,esfuerzo,14
375,06558391,n,Portugal,13
376,00054269,n,detención,2
377,04914659,n,orden,1
378,00736721,n,justicia,5
379,00269778,n,tortura,2
380,00808515,n,genocidio,3
381,10428324,n,riesgo,9
382,10092910,n,recesión,1
383,06555220,n,Perú,12
384,02716453,n,foro,1
385,04466733,n,acuerdo,7
386,10065207,n,paz,17
387,00756240,n,conflicto,2
388,00803600,n,integración,3
389,06239374,n,sistema,5
390,06432973,n,La_Habana,10
391,07063762,n,director,23
392,04950638,n,tema,11
393,06193947,n,economía,19
394,00378579,n,funcionamiento,2
395,04030305,n,derecho,23
396,00133315,n,rechazo,7
397,00113217,n,medida,24
398,06299747,n,país,87
399,04538868,n,estrategia,14
400,10040518,n,desequilibrio,3
401,04377480,n,solución,17
402,09649911,n,deuda,10
403,04378256,n,disciplina,1
404,00735967,n,supervisión,3
405,00125689,n,cambio,11
406,00462318,n,papel,21
407,00117820,n,adopción,4
408,10366424,n,salud,6
409,00524093,n,conservación,1
410,06213619,n,delegación,8
411,06156630,n,Naciones_Unidas,2
412,00471060,n,misión,3
413,06307482,n,territorio,14
414,05438121,n,final,8
415,04738466,n,diario,24
416,06143628,n,tropa,3
417,07388553,n,mariscal,1
418,00031519,n,retirada,4
419,06507271,n,Egipto,10
420,04311223,n,mano,12
421,00830294,n,El_Alamein,2
422,10898122,n,momento,32
423,10865688,n,vida,26
424,05412651,n,promoción,1
425,06801422,n,costa,5
426,04470977,n,cálculo,1
