abraço	3	por-30-00059728-n	n	73	tri GL CA ES	------
abraço	4	por-30-00417643-n	n	73	tri GL CA ES	------
abreviadamente	1	por-30-00085811-r	r	75	WEB API	------
abreviado	1	por-30-06468123-n	n	75	WEB API	------
abreviar	1	por-30-00243749-v	v	52.8544	triangulation pt/en/	------
abreviar	1	por-30-00429060-v	v	75	WEB API	------
abreviatura	1	por-30-00359135-n	n	52.4772	triangulation pt/en/	------
abreviação	1	por-30-00359135-n	n	52.3101	triangulation pt/en/	------
abreviação	1	por-30-06468123-n	n	75	WEB API	------
abrigar	1	por-30-01380638-v	v	75	WEB API	------
abrigo	1	por-30-03541696-n	n	75	WEB API	------
abrigo	1	por-30-04191595-n	n	52.6765	triangulation pt/en/	------
abrigo	2	por-30-04191943-n	n	52.2778	triangulation pt/en/	------
abril	1	por-30-15211189-n	n	73	tri GL CA ES	------
abrilhantar	1	por-30-00291873-v	v	75	WEB API	------
abrir	1	por-30-00219963-v	v	52.076	triangulation pt/en/	------
abrir	1	por-30-00345761-v	v	75	WEB API	------
abrir	2	por-30-00539936-v	v	52.2919	triangulation pt/en/	------
abrir	3	por-30-01077887-v	v	52.2919	triangulation pt/en/	------
abrir	4	por-30-01346003-v	v	54.1091	triangulation pt/en/	------
abrir	5	por-30-01579813-v	v	52.2919	triangulation pt/en/	------
abrir	6	por-30-02425462-v	v	52.2919	triangulation pt/en/	------
abrir	7	por-30-02426171-v	v	54.1091	triangulation pt/en/	------
abrir	8	por-30-02744651-v	v	52.7394	triangulation pt/en/	------
abrir	9	por-30-02771169-v	v	52.076	triangulation pt/en/	------
abrir	10	por-30-02561995-v	v	73	tri GL CA ES	------
abrir	11	por-30-01617192-v	v	73	tri GL CA ES	------
abrir	12	por-30-01754737-v	v	73	tri GL CA ES	------
abrir	13	por-30-00107369-v	v	73	tri GL CA ES	------
abrir	14	por-30-01712704-v	v	73	tri GL CA ES	------
abrir	15	por-30-02560585-v	v	73	tri GL CA ES	------
abrir	16	por-30-02598483-v	v	73	tri GL CA ES	------
abrir	17	por-30-01645601-v	v	73	tri GL CA ES	------
abrir	18	por-30-02367363-v	v	73	tri GL CA ES	------
abrir	19	por-30-01653873-v	v	73	tri GL CA ES	------
abrir	20	por-30-01621555-v	v	73	tri GL CA ES	------
abrir	21	por-30-00770437-v	v	73	tri GL CA ES	------
abrir	22	por-30-02560767-v	v	73	tri GL CA ES	------
abrir	23	por-30-00120675-v	v	73	tri GL CA ES	------
abrir	24	por-30-02562901-v	v	73	tri GL CA ES	------
abrir	25	por-30-01753788-v	v	73	tri GL CA ES	------
abrolhar	1	por-30-00357332-v	v	75	WEB API	------
absentismo	1	por-30-01234528-n	n	53.0041	triangulation pt/en/	------
absentismo	2	por-30-01234612-n	n	53	triangulation pt/en/	------
absolutamente	1	por-30-00008007-r	r	75	WEB API	------
absolutamente	1	por-30-00008997-r	r	71	FTT	------
absolutamente	2	por-30-00007488-r	r	71	FTT	------
absolutismo	1	por-30-08440630-n	n	75	WEB API	------
absoluto	1	por-30-00094069-a	a	71	FTT	------
absoluto	2	por-30-00522885-a	a	52.7983	triangulation pt/en/	------
absoluto	3	por-30-00719328-a	a	52.9044	triangulation pt/en/	------
absoluto	4	por-30-02180486-a	a	52.7983	triangulation pt/en/	------
absoluto	5	por-30-01914407-a	a	73	tri GL CA ES	------
absoluto	6	por-30-00523479-a	a	73	tri GL CA ES	------
absoluto	7	por-30-00005205-a	a	54.3565	triangulation pt/en/	------
absolver	1	por-30-00902424-v	v	52.4331	triangulation pt/en/	------
absolver	2	por-30-00903711-v	v	52.4331	triangulation pt/en/	------
absolver	3	por-30-00801626-v	v	73	tri GL CA ES	------
absolvição	1	por-30-01193886-n	n	52.9574	triangulation pt/en/	------
absolvição	2	por-30-00094240-n	n	71	FTT	------
absorvente	1	por-30-00008877-a	a	71	FTT	------
absorvente	2	por-30-00006777-a	a	71	FTT	------
absorvente	3	por-30-00008206-a	a	71	FTT	------
absorvente	4	por-30-00008734-a	a	71	FTT	------
absorvente_de_impacto	1	por-30-00007331-a	a	71	FTT	------
absorver	1	por-30-00216216-v	v	73	tri GL CA ES	------
absorver	2	por-30-00395698-v	v	52.6296	triangulation pt/en/	------
absorver	3	por-30-00600370-v	v	52.6296	triangulation pt/en/	------
absorver	4	por-30-00602255-v	v	52.6296	triangulation pt/en/	------
absorver	5	por-30-01470524-v	v	52.5645	triangulation pt/en/	------
absorver	6	por-30-01539063-v	v	52.6296	triangulation pt/en/	------
absorver	7	por-30-01539633-v	v	52.6296	triangulation pt/en/	------
absorver	8	por-30-02216560-v	v	52.6296	triangulation pt/en/	------
absorver	9	por-30-02765464-v	v	52.6296	triangulation pt/en/	------
absorvância	1	por-30-05089367-n	n	52.8833	triangulation pt/en/	------
absorção	1	por-30-13571580-n	n	52.6543	triangulation pt/en/	------
absorção	2	por-30-13423922-n	n	52.7798	triangulation pt/en/	------
absorção	3	por-30-13424183-n	n	52.7798	triangulation pt/en/	------
