ili-30-00010054-v	v	eng-30	29	0
ili-30-00010241-v	v	eng-30	29	0
ili-30-00010276-r	r	eng-30	02	0
ili-30-00010385-a	a	eng-30	00	0
ili-30-00010435-v	v	eng-30	29	0
ili-30-00010466-r	r	eng-30	02	0
ili-30-00010537-a	a	eng-30	00	0
ili-30-00010726-a	a	eng-30	00	0
ili-30-00010759-r	r	eng-30	02	0
ili-30-00010914-r	r	eng-30	02	0
ili-30-00011011-r	r	eng-30	02	0
ili-30-00011093-r	r	eng-30	02	0
ili-30-00011160-a	a	eng-30	00	0
ili-30-00011327-a	a	eng-30	00	0
ili-30-00011361-v	v	eng-30	29	0
ili-30-00011516-r	r	eng-30	02	0
ili-30-00011551-v	v	eng-30	29	0
ili-30-00011665-a	a	eng-30	00	0
ili-30-00011698-v	v	eng-30	29	0
ili-30-00011757-a	a	eng-30	00	0
ili-30-00011852-v	v	eng-30	29	0
ili-30-00011916-r	r	eng-30	02	0
ili-30-00011982-v	v	eng-30	29	0
ili-30-00012047-r	r	eng-30	02	0
ili-30-00012071-a	a	eng-30	00	0
ili-30-00012129-r	r	eng-30	02	0
ili-30-00012137-v	v	eng-30	29	0
ili-30-00012267-v	v	eng-30	29	0
ili-30-00012286-r	r	eng-30	02	0
ili-30-00012362-a	a	eng-30	00	0
ili-30-00012434-v	v	eng-30	29	0
ili-30-00012531-r	r	eng-30	02	0
ili-30-00012613-v	v	eng-30	29	0
ili-30-00012689-a	a	eng-30	00	0
ili-30-00012753-v	v	eng-30	29	0
ili-30-00012779-r	r	eng-30	02	0
ili-30-00012854-v	v	eng-30	29	0
ili-30-00012932-a	a	eng-30	00	0
ili-30-00012944-v	v	eng-30	29	0
ili-30-00013092-r	r	eng-30	02	0
ili-30-00013160-a	a	eng-30	00	0
ili-30-00013172-v	v	eng-30	29	0
ili-30-00013236-r	r	eng-30	02	0
ili-30-00013328-v	v	eng-30	29	0
ili-30-00013429-r	r	eng-30	02	0
ili-30-00013442-a	a	eng-30	00	0
ili-30-00013615-v	v	eng-30	29	0
ili-30-00013626-r	r	eng-30	02	0
ili-30-00013662-a	a	eng-30	00	0
ili-30-00013793-r	r	eng-30	02	0
ili-30-00013858-v	v	eng-30	29	0
ili-30-00013887-a	a	eng-30	00	0
ili-30-00014014-r	r	eng-30	02	0
ili-30-00014034-v	v	eng-30	29	0
ili-30-00014201-v	v	eng-30	29	0
ili-30-00014285-r	r	eng-30	02	0
ili-30-00014358-a	a	eng-30	00	0
ili-30-00014405-v	v	eng-30	29	0
ili-30-00014490-a	a	eng-30	00	0
ili-30-00014549-v	v	eng-30	29	0
ili-30-00014616-r	r	eng-30	02	0
ili-30-00014738-r	r	eng-30	02	0
ili-30-00014742-v	v	eng-30	29	0
ili-30-00014858-a	a	eng-30	00	0
ili-30-00014882-r	r	eng-30	02	0
ili-30-00015007-r	r	eng-30	02	0
ili-30-00015097-a	a	eng-30	00	0
ili-30-00015135-r	r	eng-30	02	0
ili-30-00015163-v	v	eng-30	29	0
ili-30-00015247-a	a	eng-30	00	0
ili-30-00015303-v	v	eng-30	29	0
ili-30-00015368-r	r	eng-30	02	0
ili-30-00015388-n	n	eng-30	03	0
ili-30-00015471-r	r	eng-30	02	0
ili-30-00015480-a	a	eng-30	00	0
ili-30-00015498-v	v	eng-30	29	0
ili-30-00015589-a	a	eng-30	00	0
ili-30-00015706-r	r	eng-30	02	0
ili-30-00015713-v	v	eng-30	29	0
ili-30-00015720-a	a	eng-30	00	0
ili-30-00015806-v	v	eng-30	29	0
ili-30-00015854-a	a	eng-30	00	0
ili-30-00015860-r	r	eng-30	02	0
ili-30-00015946-v	v	eng-30	29	0
ili-30-00015953-r	r	eng-30	02	0
ili-30-00016005-a	a	eng-30	00	0
ili-30-00016135-a	a	eng-30	00	0
ili-30-00016183-v	v	eng-30	29	0
ili-30-00016240-r	r	eng-30	02	0
ili-30-00016247-a	a	eng-30	00	0
ili-30-00016350-a	a	eng-30	00	0
ili-30-00016380-v	v	eng-30	29	0
ili-30-00016458-r	r	eng-30	02	0
ili-30-00016532-a	a	eng-30	00	0
ili-30-00016573-v	v	eng-30	29	0
ili-30-00016647-a	a	eng-30	00	0
ili-30-00016678-r	r	eng-30	02	0
ili-30-00016702-v	v	eng-30	29	0
ili-30-00016756-a	a	eng-30	00	0
ili-30-00016855-v	v	eng-30	29	0
ili-30-00016950-r	r	eng-30	02	0
ili-30-00017024-a	a	eng-30	00	0
ili-30-00017031-v	v	eng-30	29	0
ili-30-00017077-r	r	eng-30	02	0
ili-30-00017186-a	a	eng-30	00	0
ili-30-00017222-n	n	eng-30	03	0
ili-30-00017241-r	r	eng-30	02	0
ili-30-00017282-v	v	eng-30	29	0
ili-30-00017352-a	a	eng-30	00	0
ili-30-00017445-r	r	eng-30	02	0
ili-30-00017509-a	a	eng-30	00	0
ili-30-00017531-v	v	eng-30	29	0
ili-30-00017639-r	r	eng-30	02	0
ili-30-00017674-v	v	eng-30	29	0
ili-30-00017688-a	a	eng-30	00	0
ili-30-00017782-a	a	eng-30	00	0
ili-30-00017865-v	v	eng-30	29	0
ili-30-00017881-r	r	eng-30	02	0
ili-30-00018043-r	r	eng-30	02	0
ili-30-00018069-a	a	eng-30	00	0
ili-30-00018158-v	v	eng-30	29	0
ili-30-00018189-r	r	eng-30	02	0
ili-30-00018222-a	a	eng-30	00	0
ili-30-00018265-r	r	eng-30	02	0
ili-30-00018302-r	r	eng-30	02	0
ili-30-00018405-v	v	eng-30	29	0
ili-30-00018435-a	a	eng-30	00	0
ili-30-00018526-v	v	eng-30	29	0
ili-30-00018577-r	r	eng-30	02	0
ili-30-00018584-a	a	eng-30	00	0
ili-30-00018781-r	r	eng-30	02	0
ili-30-00018813-v	v	eng-30	29	0
ili-30-00018850-a	a	eng-30	00	0
ili-30-00018918-r	r	eng-30	02	0
ili-30-00019046-n	n	eng-30	03	0
ili-30-00019128-n	n	eng-30	03	0
ili-30-00019131-a	a	eng-30	00	0
