,Source Synset,Target Synset
45670,105692910,105693669
45671,105692910,105693919
45672,105692910,105694791
45673,105693206,105869407
45674,105693919,105694232
45675,105693919,105694527
45676,105694791,105695002
45677,105694791,105695232
45678,105694791,105695446
45679,105695554,105695806
45680,105695554,105696425
45681,105695806,105696020
45682,105695806,105696199
45683,105695806,105696297
45684,105696425,105696701
45685,105696425,105696803
45686,105696425,105696941
45687,105697135,105697363
45688,105697135,105697789
45689,105697135,105697976
45690,105698247,105698620
45691,105698247,105698791
45692,105698247,105698982
45693,105698247,105699172
45694,105698247,105699600
45695,105698247,105699770
45696,105699172,105699434
45697,105700087,105700625
45698,105700087,105701209
45699,105700625,105700793
45700,105700793,105700925
45701,105700793,105701107
45702,105701363,105701944
45703,105701363,105770664
45704,105701738,100285387
45705,105701738,106246700
45706,105701738,113459322
45707,105701944,105702275
45708,105701944,105706228
45709,105701944,105707495
45710,105701944,105708432
45711,105701944,105708658
45712,105701944,105726093
45713,105701944,105732756
45714,105701944,105748054
45715,105701944,105752544
45716,105701944,105760202
45717,105701944,105765159
45718,105702275,105702726
45719,105702275,105703070
45720,105702275,105703205
45721,105702275,105703307
45722,105702275,105703429
45723,105702275,105703803
45724,105702726,105704096
45725,105703429,105703956
45726,105703429,105710573
45727,105704266,105704694
45728,105704266,105705184
45729,105704266,105705355
45730,105704694,105705075
45731,105705722,105706076
45732,105706228,105706375
45733,105706228,105706547
45734,105706228,105706629
45735,105706629,105706954
45736,105706954,105706815
45737,105706954,105707146
45738,105706954,105707269
45739,105707495,105707718
45740,105707495,105708030
45741,105707495,105708207
45742,105707495,105708322
45743,105707495,105797473
45744,105707718,105707885
45745,105708432,105708818
45746,105708432,105710687
45747,105708432,105710860
45748,105708432,105711503
45749,105708432,105712076
45750,105708432,105721180
45751,105708432,105722427
45752,105708818,105709148
45753,105708818,105709343
45754,105708818,105709507
45755,105708818,105709766
45756,105710020,105710210
45757,105710020,105710356
45758,105710020,105710481
45759,105710860,105711084
45760,105710860,105711206
45761,105710860,105711308
45762,105710860,105711414
45763,105710860,105936561
45764,105711503,105711674
45765,105711503,105711791
45766,105711791,105711915
45767,105712076,105712426
45768,105712076,105713347
45769,105712076,105713524
45770,105712076,105713737
45771,105712076,105715283
45772,105712076,105718254
45773,105712076,105720602
45774,105712426,105712559
45775,105712426,105712892
45776,105712559,105712698
45777,105712892,105713101
45778,105713737,105714161
45779,105713737,105714466
45780,105713737,105714894
45781,105713737,105717266
45782,105714161,105714332
45783,105714466,105714745
45784,105714894,105715150
45785,105715283,105715864
45786,105715283,105716577
45787,105715283,105716744
45788,105715283,105717115
45789,105715283,105717342
45790,105715283,105717549
45791,105715283,105717747
45792,105715283,105717953
45793,105715283,105718118
45794,105715864,105716342
45795,105715864,105716462
45796,105716744,105716961
45797,105718254,105718556
45798,105718254,105718935
45799,105718254,105719605
45800,105718254,105720248
45801,105718254,105720521
45802,105718556,105719466
45803,105718935,105719325
45804,105719605,105719804
45805,105719804,105719958
45806,105719804,105720093
45807,105720602,105720826
45808,105720826,105721019
45809,105721180,105721500
45810,105721180,105722868
45811,105721180,105724475
45812,105721180,105724694
45813,105721180,105725378
45814,105721500,105721728
