,Synset,W Num,Word,Type,Sense,Tag Count
6542,105629682,1,alarido,n,1,0
6543,105629682,2,algazarra,n,1,0
6544,105629682,3,balbúrdia,n,1,0
6545,105629682,4,danação,n,1,0
6546,105629682,5,inferneira,n,1,0
6547,105629682,6,inferno,n,3,0
6548,105629682,7,martírio,n,1,0
6549,105629682,8,perdição,n,1,0
6550,105629682,9,tormento,n,1,0
6551,105631076,1,limbo,n,1,0
6552,105632446,1,fantasia,n,1,0
6553,105632732,1,sonho,n,1,0
6554,105633385,1,concepção,n,2,0
6555,105633385,2,inovação,n,2,0
6556,105633385,3,invenção,n,3,0
6557,105633672,1,ideia,n,6,0
6558,105633672,2,idéia,n,6,0
6559,105633672,3,talento,n,6,0
6560,105634059,1,arsenal,n,3,0
6561,105634059,2,inventário,n,3,0
6562,105634613,1,originalidade,n,2,0
6563,105634767,1,inovação,n,3,0
6564,105635055,1,novidade,n,3,0
6565,105637558,1,arte,n,3,0
6566,105637558,2,engenho,n,1,0
6567,105637558,3,habilidade,n,4,0
6568,105637558,4,perícia,n,1,0
6569,105637558,5,talento,n,1,0
6570,105638063,1,artesanato,n,2,0
6571,105638063,2,habilidade,n,6,0
6572,105638882,1,arte,n,6,0
6573,105638987,1,arte,n,4,0
6574,105640433,1,habilidade,n,2,0
6575,105640729,1,perícia,n,1,0
6576,105641556,1,coordenação,n,2,0
6577,105641959,1,controle,n,1,0
6578,105641959,2,controlo,n,8,0
6579,105641959,3,domínio,n,4,0
6580,105642815,1,destreza,n,1,0
6581,105642815,2,habilidade,n,3,0
6582,105643190,1,técnica,n,1,0
6583,105644527,1,eficiência,n,1,0
6584,105644727,1,economia,n,3,0
6585,105644922,1,incapacidade,n,3,0
6586,105645597,1,estupidez,n,2,0
6587,105646218,1,atraso,n,4,0
6588,105647156,1,loucura,n,2,0
6589,105649256,1,analfabetismo,n,1,0
6590,105650329,1,faculdade,n,1,0
6591,105650579,1,atendimento,n,6,0
6592,105650579,2,atenção,n,5,0
6593,105650579,3,concentração,n,8,0
6594,105650820,1,fala,n,2,0
6595,105650820,2,linguagem,n,2,0
6596,105650820,3,lábio,n,1,0
6597,105650820,4,língua,n,3,0
6598,105650820,5,palavras,n,1,0
6599,105651399,1,memória,n,2,0
6600,105651680,1,compreensão,n,2,0
6601,105651680,2,entendimento,n,1,0
6602,105651680,3,intelecto,n,1,0
6603,105651680,4,inteligência,n,3,0
6604,105651680,5,razão,n,1,0
6605,105651971,1,sentido,n,1,0
6606,105652593,1,vontade,n,1,0
6607,105652926,1,delicadeza,n,5,0
6608,105652926,2,melindre,n,1,0
6609,105652926,3,perspicácia,n,1,0
6610,105652926,4,sagacidade,n,1,0
6611,105652926,5,sensibilidade,n,4,0
6612,105652926,6,subtileza,n,1,0
6613,105652926,7,suscetibilidade,n,1,0
6614,105653575,1,reação,n,4,0
6615,105654362,1,vista,n,5,0
6616,105654362,2,visão,n,2,0
6617,105657718,1,audição,n,1,0
6618,105657718,2,oitiva,n,1,0
6619,105657718,3,outiva,n,1,0
6620,105657718,4,ouvido,n,3,0
6621,105658226,1,gosto,n,1,0
6622,105658603,1,olfato,n,1,0
6623,105658826,1,nariz,n,2,0
6624,105659365,1,equilíbrio,n,2,0
6625,105660268,1,método,n,1,0
6626,105660937,1,pedagogia,n,2,0
6627,105661400,1,metodologia,n,1,0
6628,105661668,1,solução,n,3,0
6629,105661996,1,sistema,n,5,0
6630,105662876,1,disciplina,n,3,0
6631,105664069,1,lógica,n,2,0
6632,105664986,1,organon,n,1,0
6633,105665146,1,técnica,n,2,0
6634,105666700,1,simulação,n,2,0
6635,105667196,1,prática,n,5,0
6636,105667404,1,costume,n,4,0
6637,105667404,2,tradição,n,1,0
6638,105667613,1,convenção,n,2,0
6639,105667613,2,fórmula,n,1,0
6640,105667613,3,modelo,n,2,0
6641,105667613,4,norma,n,1,0
6642,105667613,5,pauta,n,2,0
6643,105667613,6,regra,n,2,0
6644,105669034,1,hábito,n,4,0
6645,105669034,2,uso,n,3,0
6646,105670343,1,entusiasmo,n,2,0
6647,105670710,1,inquietude,n,5,0
6648,105670710,2,preocupação,n,1,0
6649,105671325,1,assunto,n,3,0
6650,105671325,2,coisa,n,6,0
6651,105671974,1,parte,n,6,0
6652,105672391,1,amnésia,n,1,0
6653,105673209,1,esquecimento,n,2,0
6654,105673908,1,esquecimento,n,3,0
6655,105674134,1,esquecimento,n,4,0
6656,105675130,1,conhecimento,n,2,0
6657,105675130,2,consciência,n,2,0
6658,105675130,3,sentido,n,2,0
6659,105675905,1,conhecimento,n,3,0
6660,105675905,2,consciência,n,3,0
6661,105677504,1,sensação,n,2,0
6662,105677504,2,sentido,n,3,0
6663,105678148,1,sensibilidade,n,5,0
6664,105678745,1,acordar,n,10,0
6665,105678855,1,vela,n,4,0
6666,105679611,1,ignorância,n,1,0
6667,105680193,1,coma,n,1,0
6668,105681252,1,estupidez,n,3,0
6669,105682055,1,narcose,n,1,0
6670,105682570,1,curiosidade,n,2,0
6671,105682950,1,interesse,n,3,0
6672,105682950,2,juro,n,1,0
6673,105683582,1,confusão,n,2,0
6674,105684440,1,distração,n,2,0
6675,105685538,1,enigma,n,1,0
6676,105685538,2,mistério,n,1,0
6677,105685879,1,complicação,n,1,0
6678,105685879,2,confusão,n,1,0
6679,105685879,3,dédalo,n,1,0
6680,105685879,4,labirinto,n,3,0
6681,105686955,1,dificuldade,n,3,0
6682,105686955,2,obstáculo,n,4,0
6683,105686955,3,problema,n,2,0
6684,105687338,1,problema,n,3,0
6685,105688397,1,questão,n,1,0
6686,105689249,1,obstáculo,n,5,0
6687,105690916,1,barreira,n,2,0
6688,105691144,1,conjuntura,n,1,0
6689,105691144,2,dificuldade,n,8,0
6690,105691144,3,obstáculo,n,6,0
6691,105691144,4,problema,n,4,0
6692,105691144,5,quebra-cabeças,n,1,0
6693,105691144,6,quê,n,1,0
6694,105691241,1,obstáculo,n,7,0
6695,105692419,1,determinante,n,4,0
6696,105692910,1,influência,n,4,0
6697,105693383,1,marca,n,5,0
6698,105693919,1,apoio,n,7,0
6699,105694791,1,tentação,n,3,0
6700,105695554,1,equivalente,n,5,0
6701,105696020,1,combinação,n,9,0
6702,105696020,2,jogo,n,5,0
6703,105696297,1,complemento,n,3,0
6704,105696803,1,sucessor,n,1,0
6705,105697135,1,certeza,n,2,0
6706,105697135,2,segurança,n,2,0
6707,105697363,1,autoridade,n,2,0
6708,105697363,2,certeza,n,3,0
6709,105697363,3,evidência,n,1,0
6710,105697363,4,garantia,n,2,0
6711,105697363,5,segurança,n,3,0
6712,105697789,1,certeza,n,4,0
6713,105697976,1,confiança,n,3,0
6714,105697976,2,fé,n,4,0
6715,105698247,1,dúvida,n,2,0
6716,105698247,2,hesitação,n,1,0
6717,105698247,3,incerteza,n,2,0
6718,105698247,4,indecisão,n,1,0
6719,105698247,5,perplexidade,n,1,0
6720,105698247,6,suspensão,n,1,0
6721,105698247,7,vacilação,n,1,0
6722,105698620,1,reserva,n,4,0
6723,105698791,1,desconfiança,n,2,0
6724,105698791,2,suspeita,n,2,0
6725,105699434,1,hesitação,n,2,0
6726,105700087,1,inquietude,n,6,0
6727,105700087,2,preocupação,n,2,0
6728,105700401,1,fixação,n,2,0
6729,105700401,2,obsessão,n,1,0
6730,105700625,1,abstração,n,2,0
6731,105701363,1,operação,n,8,0
6732,105701363,2,processo,n,8,0
6733,105701738,1,processo,n,9,0
6734,105702275,1,atendimento,n,9,0
6735,105702275,2,atenção,n,6,0
6736,105702726,1,atendimento,n,8,0
6737,105702726,2,atenção,n,7,0
6738,105703429,1,atendimento,n,4,0
6739,105703429,2,atenção,n,8,0
6740,105704266,1,concentração,n,6,0
6741,105704694,1,enfoque,n,1,0
6742,105705355,1,estudo,n,3,0
6743,105705355,2,estúdio,n,6,0
6744,105705484,1,complexo,n,4,0
6745,105705722,1,vigilância,n,4,0
6746,105706547,1,confusão,n,8,0
6747,105706547,2,distração,n,1,0
6748,105707269,1,exceção,n,3,0
6749,105707269,2,exclusão,n,2,0
6750,105707495,1,intuição,n,1,0
6751,105707718,1,emoção,n,2,0
6752,105707718,2,sensação,n,3,0
6753,105707718,3,sentimento,n,2,0
6754,105708432,1,percepção,n,2,0
6755,105710020,1,percepção,n,3,0
6756,105710356,1,penetração,n,4,0
6757,105710481,1,conhecimento,n,4,0
6758,105710573,1,comentário,n,2,0
6759,105710573,2,observação,n,4,0
6760,105710687,1,identificação,n,5,0
6761,105711084,1,contraste,n,2,0
6762,105711915,1,melodia,n,1,0
6763,105712076,1,sensação,n,4,0
6764,105713524,1,vista,n,6,0
6765,105713737,1,aroma,n,3,0
6766,105713737,2,cheiro,n,1,0
6767,105713737,3,odor,n,3,0
6768,105714466,1,aroma,n,2,0
6769,105714466,2,cheirinho,n,1,0
6770,105714466,3,cheiro,n,1,0
6771,105714466,4,fragrância,n,1,0
6772,105714466,5,fragância,n,1,0
6773,105714466,6,odor,n,1,0
6774,105714466,7,olor,n,1,0
6775,105714466,8,perfume,n,2,0
6776,105714466,9,recendência,n,1,0
6777,105714466,10,rescendência,n,1,0
6778,105714894,1,fedor,n,1,0
6779,105715283,1,gosto,n,2,0
6780,105715283,2,sabor,n,1,0
6781,105715864,1,paladar,n,1,0
6782,105715864,2,sabor,n,2,0
6783,105716342,1,limão,n,1,0
6784,105716462,1,baunilha,n,1,0
6785,105716577,1,doçura,n,1,0
6786,105718254,1,som,n,2,0
6787,105718556,1,música,n,2,0
6788,105719605,1,tom,n,3,0
6789,105720248,1,ruído,n,1,0
6790,105721180,1,sensação,n,6,0
6791,105722868,1,formigueiro,n,1,0
6792,105724475,1,pressão,n,3,0
6793,105724694,1,dor,n,1,0
6794,105725378,1,temperatura,n,2,0
6795,105725527,1,calor,n,2,0
6796,105725676,1,frio,n,9,0
6797,105726093,1,crença,n,3,0
6798,105726237,1,contradição,n,4,0
6799,105726596,1,acomodação,n,1,0
6800,105726596,2,arranjo,n,1,0
6801,105726596,3,arrumação,n,1,0
6802,105726596,4,arrumo,n,1,0
6803,105726596,5,circunspeção,n,1,0
6804,105726596,6,conformação,n,1,0
6805,105726596,7,constituição,n,1,0
6806,105726596,8,contextura,n,1,0
6807,105726596,9,determinação,n,1,0
6808,105726596,10,disciplina,n,1,0
6809,105726596,11,disposição,n,6,0
6810,105726596,12,disposto,n,1,0
6811,105726596,13,economia,n,1,0
6812,105726596,14,estrutura,n,1,0
6813,105726596,15,estruturação,n,1,0
6814,105726596,16,lei,n,1,0
6815,105726596,17,mandado,n,1,0
6816,105726596,18,método,n,1,0
6817,105726596,19,ordem,n,1,0
6818,105726596,20,orden,n,1,0
6819,105726596,21,ordenamento,n,1,0
6820,105726596,22,ordenança,n,1,0
6821,105726596,23,ordenação,n,1,0
6822,105726596,24,organismo,n,1,0
6823,105726596,25,organização,n,4,0
6824,105726596,26,prescrição,n,1,0
6825,105726596,27,sequência,n,1,0
6826,105726596,28,sistema,n,6,0
6827,105728678,1,plano,n,9,0
6828,105728678,2,projecto,n,2,0
6829,105730365,1,topologia,n,1,0
6830,105731779,1,configuração,n,2,0
6831,105731779,2,constelação,n,1,0
6832,105732756,1,classificação,n,2,0
6833,105733583,1,avaliação,n,3,0
6834,105733583,2,valoração,n,1,0
6835,105734018,1,crítica,n,1,0
6836,105734288,1,exame,n,5,0
6837,105734477,1,autocrítica,n,1,0
6838,105734559,1,atribuição,n,1,0
6839,105737153,1,nota,n,2,0
6840,105737153,2,qualificação,n,3,0
6841,105738625,1,controlo,n,9,0
6842,105738625,2,ensaio,n,5,0
6843,105738625,3,prova,n,14,0
6844,105738625,4,teste,n,3,0
6845,105738625,5,verificação,n,1,0
6846,105740560,1,imunodoseamento,n,1,0
6847,105740804,1,radioimunoensaio,n,1,0
6848,105747815,1,balanço,n,2,0
6849,105748054,1,discriminação,n,1,0
6850,105748285,1,diferenciação,n,1,0
6851,105748285,2,distinção,n,5,0
6852,105748614,1,contraposição,n,1,0
6853,105748786,1,contraste,n,3,0
6854,105748786,2,linha,n,6,0
6855,105749402,1,individualização,n,1,0
6856,105749619,1,apreciação,n,1,0
6857,105749619,2,apreço,n,2,0
6858,105749619,3,gosto,n,3,0
6859,105750163,1,estilo,n,4,0
6860,105750163,2,tendência,n,2,0
6861,105750657,1,moda,n,1,0
6862,105750948,1,corte,n,10,0
6863,105751707,1,delicadeza,n,6,0
6864,105751707,2,discrição,n,4,0
6865,105751794,1,cultura,n,5,0
6866,105752544,1,aprendizagem,n,2,0
6867,105752544,2,aquisição,n,4,0
6868,105752921,1,condicionamento,n,1,0
6869,105753564,1,educação,n,6,0
6870,105753954,1,incorporação,n,3,0
6871,105754730,1,impressão,n,11,0
6872,105755714,1,assimilação,n,1,0
6873,105755883,1,estudo,n,4,0
6874,105755883,2,estúdio,n,8,0
6875,105756203,1,transferência,n,5,0
6876,105757049,1,assimilação,n,2,0
6877,105758059,1,experiência,n,3,0
6878,105758382,1,familiarização,n,1,0
6879,105760202,1,memória,n,3,0
6880,105761380,1,recuperação,n,4,0
6881,105761559,1,lembrança,n,1,0
6882,105761559,2,reminiscência,n,1,0
6883,105762149,1,mente,n,2,0
6884,105762258,1,reconstrução,n,2,0
6885,105762998,1,consubstanciação,n,1,0
6886,105762998,2,identificação,n,3,0
6887,105762998,3,reconhecimento,n,3,0
6888,105763412,1,identidade,n,3,0
6889,105763916,1,associação,n,2,0
6890,105763916,2,conexão,n,4,0
6891,105763916,3,ligação,n,9,0
6892,105764365,1,convergência,n,2,0
6893,105765415,1,símbolo,n,1,0
6894,105766247,1,interpretação,n,2,0
6895,105766984,1,imagem,n,4,0
6896,105766984,2,representação,n,6,0
6897,105767733,1,imagem,n,5,0
6898,105767733,2,representação,n,11,0
6899,105768252,1,visão,n,3,0
6900,105768553,1,sonho,n,2,0
6901,105768806,1,sonho,n,3,0
6902,105769062,1,pesadelo,n,1,0
6903,105769314,1,quimera,n,1,0
6904,105769471,1,ilusão,n,7,0
6905,105769471,2,sonho,n,6,0
6906,105769471,3,utopia,n,1,0
6907,105770058,1,busca,n,3,0
6908,105770257,1,caça,n,7,0
6909,105770926,1,pensamento,n,1,0
6910,105770926,2,reflexão,n,4,0
6911,105772667,1,análise,n,3,0
