,Word,Senses,SynsetPoS,PoS,Conf,Exp,Mark
42554,scrabble,1,eus-30-00502161-n,n,99.0,None,------
42555,scrambler,1,eus-30-04150474-n,n,99.0,None,------
42556,screwball,1,eus-30-00108818-n,n,99.0,None,------
42557,scull,2,eus-30-04156814-n,n,99.0,None,------
42558,scull,1,eus-30-04156720-n,n,99.0,None,------
42559,scullery,1,eus-30-04157099-n,n,99.0,None,------
42560,sedan,1,eus-30-04166281-n,n,99.0,None,------
42561,sedimentazio,1,eus-30-11445395-n,n,99.0,None,------
42562,sedimentu,1,eus-30-09428967-n,n,99.0,None,------
42563,seduzitzaile,1,eus-30-09898797-n,n,99.0,None,------
42564,seduzitzaile,2,eus-30-10025487-n,n,99.0,None,------
42565,seduzitzaile,3,eus-30-10129464-n,n,99.0,None,------
42566,sega,1,eus-30-04158250-n,n,99.0,None,------
42567,segakada_ematen_duena,1,eus-30-10688070-n,n,99.0,None,------
42568,segalari,1,eus-30-10161363-n,n,99.0,None,------
42569,segamakina,1,eus-30-03649909-n,n,99.0,None,------
42570,segatu,1,eus-30-01319885-v,v,99.0,None,------
42571,segaz_ebaki,1,eus-30-01319885-v,v,99.0,None,------
42572,segaz_moztu,1,eus-30-01319885-v,v,99.0,None,------
42573,segida,3,eus-30-07307172-n,n,99.0,None,------
42574,segida,4,eus-30-07295507-n,n,99.0,None,------
42575,segida,1,eus-30-05044822-n,n,99.0,None,------
42576,segida,2,eus-30-07294777-n,n,99.0,None,------
42577,segida,5,eus-30-08457976-n,n,99.0,None,------
42578,segida_ekologiko,1,eus-30-13562862-n,n,99.0,None,------
42579,segika_ibili,3,eus-30-02001858-v,v,99.0,None,------
42580,segika_ibili,2,eus-30-02000868-v,v,99.0,None,------
42581,segika_ibili,1,eus-30-01317533-v,v,99.0,None,------
42582,segitu,6,eus-30-02000868-v,v,99.0,None,------
42583,segitu,8,eus-30-02681795-v,v,99.0,None,------
42584,segitu,1,eus-30-00117985-v,v,99.0,None,------
42585,segitu,3,eus-30-01317533-v,v,99.0,None,------
42586,segitu,10,eus-30-02727462-v,v,99.0,None,------
42587,segitu,4,eus-30-01991931-v,v,99.0,None,------
42588,segitu,5,eus-30-01998432-v,v,99.0,None,------
42589,segitu,7,eus-30-02001858-v,v,99.0,None,------
42590,segitu,9,eus-30-02684924-v,v,99.0,None,------
42591,segitu,2,eus-30-02679899-v,v,99.0,None,------
42592,segizio,1,eus-30-08429167-n,n,99.0,None,------
42593,segizio,2,eus-30-08429482-n,n,99.0,None,------
42594,segmentazio,1,eus-30-13449156-n,n,99.0,None,------
42595,segmentazio-barrunbea,1,eus-30-01459242-n,n,99.0,None,------
42596,segmentutan_banatu,1,eus-30-01563005-v,v,99.0,None,------
42597,segregazio,1,eus-30-08380340-n,n,99.0,None,------
42598,segregazionista,1,eus-30-10576316-n,n,99.0,None,------
42599,segundari,1,eus-30-10568754-n,n,92.0,None,------
42600,segundo,1,eus-30-13611395-n,n,99.0,None,------
42601,segundo,2,eus-30-15235126-n,n,99.0,None,------
42602,segundo,3,eus-30-15246853-n,n,99.0,None,------
42603,segundo-orratz,1,eus-30-04164757-n,n,99.0,None,------
42604,segurantza,2,eus-30-07526338-n,n,99.0,None,------
42605,segurantza,3,eus-30-04856308-n,n,99.0,None,------
42606,segurantza,1,eus-30-05697135-n,n,99.0,None,------
42607,segurantza,4,eus-30-14538472-n,n,99.0,None,------
42608,segurtagailu,1,eus-30-04126373-n,n,99.0,None,------
42609,segurtagailu,2,eus-30-03464467-n,n,99.0,None,------
42610,segurtasun,4,eus-30-07526338-n,n,99.0,None,------
42611,segurtasun,5,eus-30-14538472-n,n,99.0,None,------
42612,segurtasun,3,eus-30-04904162-n,n,99.0,None,------
42613,segurtasun,1,eus-30-04856308-n,n,99.0,None,------
42614,segurtasun,2,eus-30-04862747-n,n,99.0,None,------
42615,segurtasun,7,eus-30-08120910-n,n,99.0,None,------
42616,segurtasun,6,eus-30-05697135-n,n,99.0,None,------
42617,segurtasun-balbula,1,eus-30-04127633-n,n,99.0,None,------
42618,segurtasun-gabezi,1,eus-30-07523286-n,n,99.0,None,------
42619,segurtasun-gabezia,1,eus-30-07524918-n,n,99.0,None,------
42620,segurtasun-neurri,1,eus-30-00823316-n,n,99.0,None,------
42621,segurtasun-sistema,1,eus-30-04165945-n,n,99.0,None,------
42622,segurtasun-uhal,1,eus-30-04125853-n,n,99.0,None,------
42623,segurtasunik_ez,1,eus-30-07524918-n,n,99.0,None,------
42624,segurtasunik_ez,2,eus-30-14541677-n,n,99.0,None,------
42625,segurtatu,5,eus-30-00884011-v,v,99.0,None,------
42626,segurtatu,6,eus-30-80000033-v,v,99.0,None,------
42627,segurtatu,1,eus-30-00083523-v,v,99.0,None,------
42628,segurtatu,2,eus-30-00891936-v,v,99.0,None,------
42629,segurtatu,4,eus-30-01343892-v,v,99.0,None,------
42630,segurtatu,3,eus-30-01340439-v,v,99.0,None,------
42631,sehaska,1,eus-30-03131574-n,n,99.0,None,------
42632,sehaska,2,eus-30-03125729-n,n,99.0,None,------
42633,sehaska-kanta,2,eus-30-07051851-n,n,99.0,None,------
42634,sehaska-kanta,1,eus-30-00546738-n,n,99.0,None,------
42635,sehi,1,eus-30-10243483-n,n,99.0,None,------
42636,sehi,2,eus-30-10582154-n,n,99.0,None,------
42637,sei,1,eus-30-13744722-n,n,99.0,None,------
42638,seidun,1,eus-30-06859925-n,n,99.0,None,------
42639,seigarren,1,eus-30-13847402-n,n,99.0,None,------
42640,seihileko,2,eus-30-15225797-n,n,99.0,None,------
42641,seihileko,1,eus-30-15204485-n,n,99.0,None,------
42642,seikote,3,eus-30-08247816-n,n,99.0,None,------
42643,seikote,2,eus-30-07988369-n,n,99.0,None,------
42644,seikote,1,eus-30-07987689-n,n,99.0,None,------
42645,seilu,1,eus-30-06796119-n,n,99.0,None,------
42646,sein,1,eus-30-09917593-n,n,99.0,None,------
42647,sein_egin,1,eus-30-00058897-v,v,99.0,None,------
42648,seinalatu,1,eus-30-00922867-v,v,99.0,None,------
42649,seinalatu,2,eus-30-00921300-v,v,99.0,None,------
42650,seinalatu,3,eus-30-00921738-v,v,99.0,None,------
42651,seinale,5,eus-30-06880249-n,n,99.0,None,------
42652,seinale,8,eus-30-07270179-n,n,99.0,None,------
42653,seinale,1,eus-30-03721797-n,n,99.0,None,------
42654,seinale,2,eus-30-07286014-n,n,99.0,None,------
42655,seinale,4,eus-30-13350182-n,n,99.0,None,------
42656,seinale,3,eus-30-07522536-n,n,99.0,None,------
42657,seinale,7,eus-30-06791372-n,n,99.0,None,------
42658,seinale,6,eus-30-14363483-n,n,99.0,None,------
42659,seinale_izan,1,eus-30-00921300-v,v,99.0,None,------
42660,seinale_parakrino,1,eus-30-80000758-n,n,99.0,None,------
42661,seinale_telegrafiko,1,eus-30-06805665-n,n,99.0,None,------
42662,seinalea_jarri,1,eus-30-00508032-v,v,99.0,None,------
42663,seinalea_jarri,2,eus-30-00921738-v,v,99.0,None,------
42664,seinaleztapen,1,eus-30-06798336-n,n,99.0,None,------
42665,seintzain,1,eus-30-10345100-n,n,99.0,None,------
42666,seiren,1,eus-30-13737952-n,n,92.0,None,------
42667,seismo,1,eus-30-07428954-n,n,99.0,None,------
42668,seismo,2,eus-30-07429484-n,n,99.0,None,------
42669,sekante,1,eus-30-13788690-n,n,99.0,None,------
42670,sekante,2,eus-30-13871338-n,n,99.0,None,------
42671,sekretismo,1,eus-30-04652177-n,n,99.0,None,------
42672,sekretu,1,eus-30-06672953-n,n,99.0,None,------
42673,sekretu,2,eus-30-04652345-n,n,99.0,None,------
42674,sekta,1,eus-30-08149781-n,n,99.0,None,------
42675,sektakeria,1,eus-30-06206021-n,n,99.0,None,------
42676,sektario,1,eus-30-10573957-n,n,99.0,None,------
42677,sektarismo,1,eus-30-06206021-n,n,99.0,None,------
42678,sektore,2,eus-30-13875027-n,n,99.0,None,------
42679,sektore,1,eus-30-07966719-n,n,99.0,None,------
42680,sektore,4,eus-30-13626240-n,n,99.0,None,------
42681,sektore,3,eus-30-08403631-n,n,99.0,None,------
42682,sekuentzia,1,eus-30-04173172-n,n,99.0,None,------
42683,sekuentzia,3,eus-30-07342383-n,n,62.0,None,------
42684,sekuentzia,2,eus-30-08459252-n,n,99.0,None,------
42685,sekula-belar,1,eus-30-12548280-n,n,99.0,None,------
42686,sekulako,1,eus-30-10278666-n,n,99.0,None,------
42687,sekulakoak_esan,1,eus-30-00846344-v,v,99.0,None,------
42688,sekular,1,eus-30-10250527-n,n,99.0,None,------
42689,sekularizazio,1,eus-30-01109311-n,n,99.0,None,------
42690,sekuoia_luze,1,eus-30-11640645-n,n,99.0,None,------
42691,sekuoia_luze,2,eus-30-11640898-n,n,99.0,None,------
42692,sekzio,3,eus-30-09385911-n,n,99.0,None,------
42693,sekzio,2,eus-30-08648153-n,n,99.0,None,------
42694,sekzio,1,eus-30-06392001-n,n,99.0,None,------
42695,selakio,1,eus-30-01482071-n,n,99.0,None,------
42696,selekzio,1,eus-30-80000089-n,n,99.0,None,------
42697,selenio,1,eus-30-14654175-n,n,99.0,None,------
42698,self-service,1,eus-30-02935891-n,n,99.0,None,------
42699,semaforo,1,eus-30-04171208-n,n,99.0,None,------
42700,semaforo,2,eus-30-06874185-n,n,99.0,None,------
42701,semantika,1,eus-30-06179792-n,n,99.0,None,------
42702,seme,2,eus-30-10624074-n,n,99.0,None,------
42703,seme,1,eus-30-09918762-n,n,99.0,None,------
42704,seme-alaba,1,eus-30-09918248-n,n,99.0,None,INFL
42705,seme-alaba,2,eus-30-09918762-n,n,99.0,None,INFL
42706,seme-alabatsun,1,eus-30-13813042-n,n,99.0,None,------
42707,seme_besoetako,2,eus-30-10135129-n,n,99.0,None,------
42708,seme_besoetako,1,eus-30-10134396-n,n,99.0,None,------
42709,seme_ponteko,1,eus-30-10134396-n,n,99.0,None,------
42710,seme_ponteko,2,eus-30-10135129-n,n,99.0,None,------
42711,seme_zaharren,1,eus-30-10092643-n,n,99.0,None,------
42712,semebitxi,2,eus-30-10135129-n,n,99.0,None,------
42713,semebitxi,1,eus-30-10134396-n,n,99.0,None,------
42714,semen,1,eus-30-05404336-n,n,99.0,None,------
42715,semen,2,eus-30-05457469-n,n,99.0,None,------
42716,semen-likido,1,eus-30-05404336-n,n,99.0,None,------
42717,semeorde,2,eus-30-10655075-n,n,99.0,None,------
42718,semeorde,1,eus-30-10654461-n,n,99.0,None,------
42719,semetasun,1,eus-30-13813042-n,n,99.0,None,------
42720,seminario,1,eus-30-08285109-n,n,99.0,None,------
42721,semiotika,1,eus-30-05976257-n,n,99.0,None,------
42722,semita,1,eus-30-09639919-n,n,99.0,None,------
42723,semola,1,eus-30-07570021-n,n,99.0,None,------
42724,sen,1,eus-30-05622723-n,n,99.0,None,------
42725,sen,3,eus-30-05707495-n,n,99.0,None,------
42726,sen,4,eus-30-05708207-n,n,99.0,None,------
42727,sen,5,eus-30-05807012-n,n,99.0,None,------
42728,sen,2,eus-30-05675130-n,n,99.0,None,------
42729,sen_on,1,eus-30-05614657-n,n,99.0,None,------
42730,sen_on,2,eus-30-05615147-n,n,99.0,None,------
42731,senaia,4,eus-30-09313716-n,n,99.0,None,------
42732,senaia,3,eus-30-09220239-n,n,99.0,None,------
42733,senaia,1,eus-30-08640300-n,n,99.0,None,------
42734,senaia,2,eus-30-09257843-n,n,99.0,None,------
42735,senar,1,eus-30-10193967-n,n,99.0,None,------
42736,senar-emazte,1,eus-30-07989373-n,n,99.0,None,INFL
42737,senar-izana,1,eus-30-10194231-n,n,99.0,None,------
42738,senar_biko,1,eus-30-09853305-n,n,99.0,None,------
42739,senar_ohi,1,eus-30-10144338-n,n,99.0,None,------
42740,senar_ohi,2,eus-30-10194231-n,n,99.0,None,------
42741,senargabe,1,eus-30-10739512-n,n,99.0,None,------
42742,senargai,2,eus-30-10148035-n,n,99.0,None,------
42743,senargai,1,eus-30-10085869-n,n,99.0,None,------
42744,senargai,3,eus-30-10147935-n,n,99.0,None,------
42745,senatari,1,eus-30-10578471-n,n,99.0,None,------
42746,senatu,2,eus-30-08161591-n,n,99.0,None,------
42747,senatu,1,eus-30-08161477-n,n,99.0,None,------
42748,senda-belar,1,eus-30-12660796-n,n,99.0,None,------
42749,sendabelar,1,eus-30-12212690-n,n,99.0,None,------
42750,sendabide,1,eus-30-03740161-n,n,99.0,None,------
42751,sendabide,2,eus-30-03111899-n,n,99.0,None,------
42752,sendagai,1,eus-30-00664110-n,n,99.0,None,------
42753,sendagai,2,eus-30-03740161-n,n,99.0,None,------
42754,sendagile,2,eus-30-00432356-n,n,99.0,None,------
42755,sendagile,1,eus-30-10020890-n,n,99.0,None,------
42756,sendagile-talde,1,eus-30-08112829-n,n,99.0,None,------
42757,sendakuntza,1,eus-30-04856721-n,n,62.0,None,------
42758,sendapoki,2,eus-30-12027538-n,n,99.0,None,------
42759,sendapoki,1,eus-30-07735052-n,n,99.0,None,------
42760,sendategi,1,eus-30-03540595-n,n,99.0,None,------
42761,sendatu,1,eus-30-00081725-v,v,99.0,None,------
42762,sendatu,2,eus-30-00099184-v,v,99.0,None,------
42763,sendatu,3,eus-30-00270561-v,v,99.0,None,------
42764,sendatzaile,1,eus-30-10707233-n,n,99.0,None,------
42765,sendatze,2,eus-30-13452347-n,n,99.0,None,------
42766,sendatze,1,eus-30-13491616-n,n,99.0,None,------
42767,sendatze,3,eus-30-00662527-n,n,99.0,None,------
42768,sendi,1,eus-30-08078020-n,n,99.0,None,------
42769,sendi,2,eus-30-07969695-n,n,99.0,None,------
42770,sendo,1,eus-30-09878702-n,n,99.0,None,------
42771,sendogarri,1,eus-30-03471190-n,n,99.0,None,------
42772,sendotasun,2,eus-30-04934546-n,n,99.0,None,------
42773,sendotasun,6,eus-30-05029706-n,n,99.0,None,------
42774,sendotasun,1,eus-30-04745932-n,n,99.0,None,------
42775,sendotasun,3,eus-30-05032193-n,n,99.0,None,------
42776,sendotasun,4,eus-30-14452442-n,n,99.0,None,------
42777,sendotasun,5,eus-30-04857490-n,n,99.0,None,------
42778,sendotu,1,eus-30-00165618-v,v,99.0,None,------
42779,sendotu,2,eus-30-02663340-v,v,99.0,None,------
42780,sendotza,2,eus-30-01038895-n,n,99.0,None,------
42781,sendotza,1,eus-30-01038761-n,n,99.0,None,------
