,Subclass,Hierarchy_1,Hierarchy_2
285,subclass,Hormone,BiologicallyActiveSubstance
286,subclass,Hormone,BodySubstance
287,subclass,Hour,TimeInterval
288,subclass,House,ResidentialBuilding
289,subclass,House,SingleFamilyResidence
290,subclass,Human,CognitiveAgent
291,subclass,Human,Hominid
292,subclass,HumanLanguage,Language
293,subclass,Hunting,Pursuing
294,subclass,Icon,ContentBearingPhysical
295,subclass,ImaginaryNumber,Number
296,subclass,Impacting,Touching
297,subclass,Impelling,Transfer
298,subclass,Increasing,QuantityChange
299,subclass,InductiveArgument,Argument
300,subclass,InformationMeasure,ConstantQuantity
301,subclass,Ingesting,OrganismProcess
302,subclass,InheritableRelation,Relation
303,subclass,Injecting,Inserting
304,subclass,Injuring,Damaging
305,subclass,Injuring,PathologicProcess
306,subclass,Insect,Arthropod
307,subclass,Inserting,Putting
308,subclass,Integer,RationalNumber
309,subclass,IntentionalProcess,Process
310,subclass,IntentionalPsychologicalProcess,IntentionalProcess
311,subclass,IntentionalPsychologicalProcess,PsychologicalProcess
312,subclass,IntentionalRelation,InheritableRelation
313,subclass,IntentionalRelation,Relation
314,subclass,InternalAttribute,Attribute
315,subclass,InternalChange,Process
316,subclass,Interpreting,IntentionalPsychologicalProcess
317,subclass,IntransitiveRelation,BinaryRelation
318,subclass,InvalidDeductiveArgument,DeductiveArgument
319,subclass,Invertebrate,Animal
320,subclass,Investigating,IntentionalPsychologicalProcess
321,subclass,IrrationalNumber,RealNumber
322,subclass,IrreflexiveRelation,BinaryRelation
323,subclass,Island,LandArea
324,subclass,January,Month
325,subclass,JoiningAnOrganization,OrganizationalProcess
326,subclass,Judging,Selecting
327,subclass,JudicialOrganization,Organization
328,subclass,JudicialProcess,PoliticalProcess
329,subclass,July,Month
330,subclass,June,Month
331,subclass,Keeping,IntentionalProcess
332,subclass,Killing,Destruction
333,subclass,LandArea,GeographicArea
334,subclass,LandTransitway,LandArea
335,subclass,LandTransitway,Transitway
336,subclass,Language,LinguisticExpression
337,subclass,LeapYear,Year
338,subclass,Learning,IntentionalPsychologicalProcess
339,subclass,LeavingAnOrganization,OrganizationalProcess
340,subclass,LegalAction,Contest
341,subclass,LegalAgent,Agent
342,subclass,LegalDecision,Declaring
343,subclass,LegalDecision,JudicialProcess
344,subclass,Lending,Giving
345,subclass,LengthMeasure,ConstantQuantity
346,subclass,LinguisticCommunication,Communication
347,subclass,LinguisticExpression,ContentBearingPhysical
348,subclass,LiquidMixture,Mixture
349,subclass,LiquidMotion,Motion
350,subclass,List,Relation
351,subclass,Listening,Hearing
352,subclass,Listening,IntentionalProcess
353,subclass,LocalizablePlace,GeographicArea
354,subclass,LogicalOperator,Predicate
355,subclass,Looking,IntentionalProcess
356,subclass,Looking,Seeing
357,subclass,Machine,Device
358,subclass,Maintaining,IntentionalProcess
359,subclass,Making,Creation
360,subclass,Making,IntentionalProcess
361,subclass,MakingInstrumentalMusic,MakingMusic
362,subclass,MakingMusic,RadiatingSound
363,subclass,MakingVocalMusic,MakingMusic
364,subclass,MakingVocalMusic,Vocalizing
365,subclass,Mammal,WarmBloodedVertebrate
366,subclass,Man,Human
367,subclass,Managing,Guiding
368,subclass,Managing,OrganizationalProcess
369,subclass,Maneuver,IntentionalProcess
370,subclass,ManualHumanLanguage,HumanLanguage
371,subclass,Manufacture,Making
372,subclass,Manufacturer,Corporation
373,subclass,March,Month
374,subclass,Marsupial,Mammal
375,subclass,MassMeasure,ConstantQuantity
376,subclass,Matriculation,JoiningAnOrganization
377,subclass,May,Month
378,subclass,Measuring,Calculating
379,subclass,MeasuringDevice,Device
380,subclass,Meat,SelfConnectedObject
381,subclass,Meeting,SocialInteraction
382,subclass,Melting,StateChange
383,subclass,MercantileOrganization,Corporation
384,subclass,Metal,ElementalSubstance
385,subclass,Microorganism,Organism
386,subclass,MilitaryForce,PoliticalOrganization
387,subclass,MilitaryOrganization,GovernmentOrganization
388,subclass,MilitaryOrganization,MilitaryForce
389,subclass,MilitaryProcess,OrganizationalProcess
390,subclass,MilitaryProcess,PoliticalProcess
391,subclass,Mineral,Substance
392,subclass,Minute,TimeInterval
393,subclass,Mixture,Substance
394,subclass,Molecule,CompoundSubstance
395,subclass,Mollusk,Invertebrate
396,subclass,Monday,Day
397,subclass,Monkey,Primate
398,subclass,Month,TimeInterval
399,subclass,Morpheme,LinguisticExpression
400,subclass,Moss,NonFloweringPlant
401,subclass,Motion,Process
402,subclass,MotionDownward,Motion
403,subclass,MotionPicture,Text
404,subclass,MotionUpward,Motion
405,subclass,MultiGraph,Graph
406,subclass,Muscle,AnimalSubstance
407,subclass,Muscle,Tissue
408,subclass,MusicalInstrument,Device
409,subclass,MutuallyDisjointClass,SetOrClass
410,subclass,Myriapod,Arthropod
411,subclass,Naming,Declaring
412,subclass,Nation,GeopoliticalArea
413,subclass,Nation,LandArea
414,subclass,NaturalLanguage,HumanLanguage
415,subclass,NaturalProcess,Process
416,subclass,NaturalSubstance,Substance
417,subclass,NegativeInteger,Integer
418,subclass,NegativeInteger,NegativeRealNumber
419,subclass,NegativeRealNumber,RealNumber
420,subclass,Neutron,SubatomicParticle
421,subclass,NonCompositeUnitOfMeasure,UnitOfMeasure
422,subclass,NonFloweringPlant,Plant
423,subclass,NonNullSet,SetOrClass
424,subclass,NonnegativeInteger,Integer
425,subclass,NonnegativeInteger,NonnegativeRealNumber
426,subclass,NonnegativeRealNumber,RealNumber
427,subclass,NormativeAttribute,RelationalAttribute
428,subclass,Noun,Word
429,subclass,NounPhrase,Phrase
430,subclass,November,Month
431,subclass,NullSet,SetOrClass
432,subclass,Number,Quantity
433,subclass,Nutrient,BiologicallyActiveSubstance
434,subclass,Object,Physical
435,subclass,ObjectAttitude,InheritableRelation
436,subclass,ObjectAttitude,IntentionalRelation
437,subclass,ObjectiveNorm,NormativeAttribute
438,subclass,October,Month
439,subclass,OddInteger,Integer
440,subclass,Offering,Committing
441,subclass,OlfactoryAttribute,PerceptualAttribute
442,subclass,OneDimensionalFigure,GeometricFigure
443,subclass,OneToOneFunction,UnaryFunction
444,subclass,OpenTwoDimensionalFigure,TwoDimensionalFigure
445,subclass,Ordering,Directing
446,subclass,Organ,BodyPart
447,subclass,OrganOrTissueProcess,AutonomicProcess
448,subclass,OrganicObject,CorpuscularObject
449,subclass,OrganicObject,OrganicThing
450,subclass,OrganicThing,SelfConnectedObject
451,subclass,Organism,Agent
452,subclass,Organism,OrganicObject
453,subclass,OrganismProcess,PhysiologicProcess
454,subclass,Organization,Agent
455,subclass,Organization,Group
456,subclass,OrganizationalProcess,IntentionalProcess
457,subclass,Oval,ClosedTwoDimensionalFigure
458,subclass,PairwiseDisjointClass,SetOrClass
459,subclass,ParamilitaryOrganization,MilitaryForce
460,subclass,PartialOrderingRelation,AntisymmetricRelation
461,subclass,PartialOrderingRelation,ReflexiveRelation
462,subclass,PartialOrderingRelation,TransitiveRelation
463,subclass,PartialValuedRelation,Relation
464,subclass,ParticleWord,Word
465,subclass,Patent,Certificate
466,subclass,PathologicProcess,BiologicalProcess
467,subclass,Perception,PsychologicalProcess
468,subclass,PerceptualAttribute,Attribute
469,subclass,PermanentResidence,Residence
470,subclass,Phrase,LinguisticExpression
471,subclass,Physical,Entity
472,subclass,PhysicalAttribute,InternalAttribute
473,subclass,PhysicalQuantity,Quantity
474,subclass,PhysicalState,InternalAttribute
475,subclass,PhysicalSystem,Physical
476,subclass,PhysiologicProcess,BiologicalProcess
477,subclass,Plan,Procedure
478,subclass,PlaneAngleMeasure,AngleMeasure
479,subclass,Planning,IntentionalPsychologicalProcess
480,subclass,Plant,Organism
481,subclass,PlantAnatomicalStructure,AnatomicalStructure
482,subclass,PlantSubstance,BodySubstance
483,subclass,Poisoning,Injuring
484,subclass,Poking,IntentionalProcess
485,subclass,PoliceOrganization,GovernmentOrganization
486,subclass,PoliticalOrganization,Organization
487,subclass,PoliticalProcess,OrganizationalProcess
488,subclass,Pollen,PlantAnatomicalStructure
489,subclass,Pollen,ReproductiveBody
490,subclass,Position,SocialRole
491,subclass,PositionalAttribute,RelationalAttribute
492,subclass,PositiveInteger,NonnegativeInteger
493,subclass,PositiveInteger,PositiveRealNumber
494,subclass,PositiveRealNumber,NonnegativeRealNumber
495,subclass,Precipitation,Falling
496,subclass,Precipitation,WaterMotion
497,subclass,Precipitation,WeatherProcess
498,subclass,Predicate,InheritableRelation
499,subclass,Predicate,Relation
500,subclass,Predicting,IntentionalPsychologicalProcess
501,subclass,PrepositionalPhrase,Phrase
502,subclass,Pretending,SocialInteraction
503,subclass,PrimaryColor,ColorAttribute
504,subclass,Primate,Mammal
505,subclass,PrimeNumber,Integer
506,subclass,ProbabilityAttribute,ObjectiveNorm
507,subclass,ProbabilityRelation,InheritableRelation
508,subclass,ProbabilityRelation,Relation
