,Synset,Glosa
299,100083260,None
300,100083448,None
301,100083585,Qualsevol adquisició de generacions passades
302,100083729,Acte de posseir o d''aconseguir alguna cosa
303,100083975,None
304,100084371,None
305,100084642,None
306,100084895,Apropiació indeguda
307,100085041,None
308,100085219,Acció i efecte de prendre possessió a través d''un procés legal
309,100085432,None
310,100085678,None
311,100085829,None
312,100086140,None
313,100086297,None
314,100086547,None
315,100086654,None
316,100086809,None
317,100087073,None
318,100087218,None
319,100087423,None
320,100087663,None
321,100087849,None
322,100088154,None
323,100088367,None
324,100088481,None
325,100088725,None
326,100089027,None
327,100089234,None
328,100089351,None
329,100089657,None
330,100089891,None
331,100090076,La resolució judicial entaulada per un creditor per recobrar el bé prestat que està en mora
332,100090253,None
333,100090393,None
334,100090610,None
335,100090779,None
336,100091013,"Renúncia voluntària a una propietat (o al dret a una propietat), sense intenció de regalar-la o cedir-la"
337,100091234,Acció i efecte de desfer-se d''alguna cosa considerada com a inútil o indesitjable
338,100091404,None
339,100091503,None
340,100091670,None
341,100091779,None
342,100091893,None
343,100091977,None
344,100092212,None
345,100092366,None
346,100092663,None
347,100092847,None
348,100093006,None
349,100093127,None
350,100093354,None
351,100093483,None
352,100093874,None
353,100094001,None
354,100094240,None
355,100094500,None
356,100094788,None
357,100094954,None
358,100095121,None
359,100095329,None
360,100095502,Acció d''alliberar a algú o alguna cosa
361,100095873,None
362,100095971,Acció i efecte de recuperar de l''error i restaurar al curs correcte
363,100096211,None
364,100096343,None
365,100096513,None
366,100096720,None
367,100096851,None
368,100096969,None
369,100097122,None
370,100097244,None
371,100097348,None
372,100097504,"Acció de realitzar alguna cosa amb èxit, utilitzant el coneixement; es distingeix del simple processament"
373,100097923,None
374,100098051,None
375,100098385,Aspectes tècnics en la realització d''alguna cosa.
376,100098625,Compliment de la tasca d''un cambrer o un servent
377,100098822,None
378,100098939,None
379,100099061,None
380,100099267,None
381,100099439,None
382,100099588,None
383,100099799,None
384,100099951,"Artifici il·lusori, considerat màgic pels observadors ingenus"
385,100100253,Espectacle que consisteix en una interpretació musical
386,100100437,None
387,100100543,Acció d''interpretar una obra artística
388,100100889,None
389,100101003,None
390,100101191,None
391,100101410,None
392,100101570,None
393,100101708,None
394,100101809,None
395,100102039,None
396,100102162,None
397,100102374,None
398,100102457,None
399,100102779,None
400,100102927,None
401,100103140,None
402,100103291,None
403,100103419,None
404,100103590,None
405,100103737,None
406,100103834,Acció i efecte d''aplicar una força per impulsar alguna cosa
407,100104088,None
408,100104249,Acció d''exercir una força sobtadament
409,100104409,None
410,100104539,None
411,100104976,None
412,100105164,None
413,100105271,None
414,100105479,None
415,100105624,None
416,100105820,None
417,100106104,None
418,100106272,None
419,100106726,None
420,100106888,None
421,100107016,None
422,100107137,None
423,100107279,None
424,100107400,None
425,100107551,None
426,100107684,None
427,100107875,None
428,100108081,None
429,100108181,None
430,100108427,None
431,100108545,None
432,100108665,None
433,100108818,None
434,100108965,None
435,100109081,None
436,100109227,None
437,100109414,None
438,100109771,None
439,100109892,None
440,100110057,None
441,100110415,None
442,100110554,None
443,100110745,None
444,100110834,None
445,100110964,None
446,100111222,None
447,100111358,None
448,100111503,None
449,100111660,None
450,100111839,None
451,100111962,None
452,100112072,None
453,100112185,None
454,100112312,None
455,100112674,None
456,100112828,None
457,100112997,None
458,100113113,Acció i efecte de pressionar
459,100113532,None
460,100113726,None
461,100113954,None
462,100114095,None
463,100114298,None
464,100114431,None
465,100114871,None
466,100115036,Acte d''arrossegar o estirar alguna cosa
467,100115292,None
468,100115500,None
469,100115667,None
470,100115803,None
471,100116008,None
472,100116122,None
473,100116376,None
474,100116687,None
475,100116989,None
476,100117124,None
477,100117267,None
478,100117578,None
479,100117810,None
480,100117959,None
481,100118268,None
482,100118445,None
483,100118552,None
484,100118733,None
485,100119079,None
486,100119210,None
487,100119297,None
488,100119402,None
489,100119568,Acte de saltar; propulsar-se des de terra
490,100119893,None
491,100120010,None
492,100120202,Lleuger moviment d''impuls cap amunt o endavant
493,100120515,Acte de saltar
494,100120647,None
495,100120804,None
496,100120943,None
497,100121166,None
498,100121366,Acte d''enviar un missatge
499,100121645,None
500,100121904,None
501,100122106,None
502,100122338,None
503,100122530,None
504,100122661,Acte de disparar un projectil
505,100122954,None
506,100123143,None
507,100123234,None
508,100123430,None
509,100123652,None
510,100123783,None
511,100124008,None
512,100124151,None
513,100124256,None
514,100124342,None
515,100124536,None
516,100124617,None
517,100124766,None
518,100124880,None
519,100125126,None
520,100125315,None
521,100125436,None
522,100125629,None
523,100126100,None
524,100126236,None
525,100126447,None
526,100126584,None
527,100126721,None
528,100126886,None
529,100127021,None
530,100127151,None
531,100127286,None
532,100127531,None
533,100127672,None
534,100127866,None
535,100128091,(en beisbol) Pilota colpejada amb el bat de manera que no resta entre les línies de fora del camp de joc
536,100128324,None
537,100128477,None
538,100128638,None
539,100128867,None
540,100128976,None
541,100129089,None
542,100129317,None
543,100129435,None
544,100129527,None
545,100129743,None
546,100130093,None
547,100130347,None
548,100130512,None
549,100130673,None
550,100130846,None
551,100130987,None
552,100131090,None
553,100131347,None
554,100131485,None
555,100131608,None
556,100131791,None
557,100131877,None
558,100131991,None
559,100132105,None
560,100132219,None
561,100132355,None
562,100132497,None
563,100132601,None
564,100132756,None
565,100132982,None
566,100133160,None
567,100133234,None
568,100133338,Acció de golpejar amb força
569,100133567,None
570,100133668,None
571,100133875,None
572,100133981,None
573,100134099,None
574,100134246,None
575,100134391,None
576,100134472,None
577,100134574,None
578,100134780,None
579,100135148,None
580,100135311,None
581,100135504,None
582,100135637,None
583,100135799,None
584,100135952,None
585,100136048,None
586,100136152,None
587,100136230,None
588,100136329,None
589,100136691,None
590,100136876,None
591,100136984,None
592,100137279,None
593,100137534,None
594,100137709,None
595,100137877,None
596,100138078,None
597,100138221,Carícia feta amb els llavis
598,100138441,None
599,100138599,None
600,100138734,None
601,100138799,None
602,100138956,None
603,100139544,None
604,100139758,None
605,100139919,None
606,100140112,None
607,100140264,None
608,100140393,None
609,100140652,None
610,100140900,None
611,100141027,None
612,100141176,None
613,100141396,None
614,100141669,None
615,100141806,None
616,100142140,None
617,100142361,None
618,100142665,None
619,100143057,None
620,100143251,None
621,100143536,None
622,100143626,Examen o inspecció ràpid i superficial
623,100143763,None
624,100143885,None
625,100144182,None
626,100144445,None
627,100144632,None
628,100144778,None
629,100145024,None
630,100145218,None
631,100145779,None
632,100145929,None
633,100146111,None
634,100146277,None
635,100146443,None
636,100146572,None
637,100146856,Acció i efecte d''ajuntar dues coses com si en fossin una
638,100147091,Acció de juntar-se gent
