altzairu	1	azpian zeuden altzairu eta bulegoetako materiala txikitu zuten	n	eus-30-14802450-n
eragile	6	manifestariek harriak eta botilak jaurti zizkieten, eta poliziek gas negar eragilea	n	eus-30-14778436-n
harri	2	grabitatearen eraginez mugitzen diren ur-korronteak dira erliebeko harrien, eta, beraz, erliebearen beraren, higatzaile nagusiak	n	eus-30-14696793-n
propano	1	gasaren banaketari ekin zionean, beren etxeetan propanoa jarririk zuten	n	eus-30-14691686-n
gasolina	1	pezeta bat igo du berunik gabeko 95 oktanoko gasolinaren prezioa	n	eus-30-14686913-n
zilar	2	garai batean, gorpuekin batera hilobietan ipinitako urrea eta zilarra lapurtzen zituzten ebasleek	n	eus-30-14654954-n
oxigeno	1	arrailadurak oso maiz gertatu dira zentral honetan, gehienetan hozketa uretan oxigenoa egoteagatik gertatu dira	n	eus-30-14648100-n
hidrogeno	1	Arma Nuklearren Eskuliburuaren arabera, Txinak 150 bonba nuklear zituen 1993an, gehienak hidrogenozkoak edo termonuklearrak	n	eus-30-14640434-n
urre	2	1849an aurkitu zen urrea Kalifornian eta bertara ziren askoren artean ditugu euskaldunak	n	eus-30-14638799-n
molekula	1	oinarrizko partikulak, atomoak eta molekulak elkarren artean batuta mantentzen badira, beraien arteko indar ezberdinei esker izaten da	n	eus-30-14682133-n
atomo	1	dena dela, atomoak ez dira zatiezinak	n	eus-30-14619225-n
disoluzio	1	disoluzioak sistema homogeneo mota bat dira	n	eus-30-14589223-n
material	3	argiaren eraginez zenbait materialek elektroiak aska ditzake, horrela tentsio elektrikoa sortuz	n	eus-30-14580897-n
azken	7	Foxek bukaera eman dio PRI alderdiaren azken 71 urtetako agintaldiari	n	eus-30-14562960-n
amai	14	kirolean agintari ziren latinoen amaiera da	n	eus-30-14562960-n
tentsio	9	tentsioa eta nerbioak uxatzeko, Oronozera joanen da gaur plantilla igandera arte	n	eus-30-14544335-n
mehatxu	5	Ian Paisleyk ziurtatu zuen IRAren mehatxua oraindik ez dela desagertu	n	eus-30-14543231-n
arrisku	4	eta, kasu horretan, kutsatuta ez dagoenak ez dauka besteak baino arrisku handiagoa	n	eus-30-14541044-n
arrisku	3	eta, kasu horretan, kutsatuta ez dagoenak ez dauka besteak baino arrisku handiagoa	n	eus-30-14540765-n
bake	4	bakea hausteagatik atxilotu zuten	n	eus-30-14539524-n
segurtasun	11	Barne ministeritzak segurtasun arazo guztiak kontrolpean dituela erakutsi nahi du	n	eus-30-14538472-n
giro	3	Montenegron bertan ere tentsio handiko giroa dago, eta asteazkeneko hilketak egoera okertu besterik ezin du egin	n	eus-30-14524849-n
klima	1	laurazeoen familiako zuhaitza, jatorriz Ekialde Urrunekoa eta klima beroko leku askotan lantzen dena	n	eus-30-14519366-n
kale	6	haren semea kaletik urrun hezten saiatu zen	n	eus-30-14516256-n
eremu	14	eremu publikotzat jotzen dira politikaren mundua, lan ordaindua, etab. Pribatua etxe barrenari dagokio	n	eus-30-14514039-n
esparru	10	atzoko atentatua esparru ezberdinetatik salatu zuten	n	eus-30-14514039-n
marko	7	bakea behar dugu egungo markoa gainditu eta kualitatiboki ezberdina izango den beste eszenatoki batera abiatzeko	n	eus-30-14513259-n
saio	6	atzo egin zuen azken saioa, Labriten, jokatuko zuen edo ez erabakitzeko, eta erantzuna baiezkoa izan zen	n	eus-30-14485673-n
era	7	Ivanovicen jokalariek gogoa erakutsi zuten partiduan, baina italiarrek partidua hautsi zuten une egokia ikusi zutenean	n	eus-30-14483917-n
konfiantza	10	Sydneyra iritsi zenean ez zuen konfiantza askorik bere indarretan Joane Somarribak	n	eus-30-14483744-n
etorkizun	4	biak oso gazteak ziren arren, kalitate handikoak ziren eta etorkizun oparoa zuten	n	eus-30-14482968-n
aukera	11	datozen ikasturteetan ikusteko aukera izango duzu	n	eus-30-14481929-n
porrot	12	operazioaren porrotagatik, Zisjordaniako tropa israeldarren buruak eta beste ofizial batek dimisioa aurkeztu dute	n	eus-30-14477877-n
min	21	Aita Santuak minez jaso du Madrilen egin den eta hiru pertsona hil eta hainbat zauritu dituen atentatu berri hori	n	eus-30-14477342-n
arrakasta	5	Australian narratiba berriaren ordezkari ezagunena da egun, eta bere lan batzuek arrakasta handia lortu dute	n	eus-30-14474894-n
huts	7	agiriaren hutsak ageri-agerikoak dira, batez ere eskubide sozialei dagokien arloan	n	eus-30-14462666-n
huts	16	huts absolutua ezinezkoa dela aldarrikatu zuen adituak	n	eus-30-14456054-n
presio	8	proiektua garaiz amaitzeko presioa pairatzen da langileengan	n	eus-30-14451349-n
hutsune	9	EBk hutsune asko erakusten ditu nazioarteko krisietan	n	eus-30-14449405-n
ez	2	kezkagarria da INEMekin eta eragile sozialekin duen koordinazio eza	n	eus-30-14449405-n
galbide	1	era teknologikoari lotutako bizimodu berriak gauza asko galbidean jarriko ditu	n	eus-30-14445226-n
subiranotasun	2	Espainiako subiranotasuna, independentzia eta lurraldetasuna bermatzeko Armada behar adina elementuz hornitu nahi dutela esan zuten	n	eus-30-14443532-n
errespetu	6	gure amak esaten zuen errespetua irabazi egin behar dela	n	eus-30-14437552-n
sailkapen	4	emaitzei begiratuz gero, hautatuak izan diren hiru talderen aurretik gaude sailkapenean	n	eus-30-14429484-n
zerrenda	12	Joseba Beloki (29) eta Haimar Zubeldia (39) dira zerrenda horretan lehen ehunen artean dauden euskal ordezkariak	n	eus-30-14429484-n
leku	17	denboraldi hasieratik desiraturiko lekuan daudela baieztatu zuen entrenatzaileak	n	eus-30-14429382-n
postu	3	bigarren postutik saiatuko da garaipena lortzen	n	eus-30-14429382-n
toki	16	nik argi ditut gauzak, oso argi eta ez dut iritzia aldatzen Athletic saikapenean dagoen tokiaren arabera	n	eus-30-14429382-n
kohesio	1	aurkakotasuna eta inkomunikazioa nagusitzen ari dira bizitza politikoan, eta gure gizartearen kohesioa modu arriskutsuan tenkatuz doa	n	eus-30-14420464-n
lotura	24	ETAko kide izateaz inputatuta deklaratu zuten lau kideen kontra neurririk ez hartzeak erakusten du AEK-ETA lotura inolako sinesgarritasunik ez duen aitzakia merkea dela	n	eus-30-14419164-n
batasun	5	Alfonso Alonso alkateak ere alderdien arteko batasuna aldarrikatu zuen ETAri aurre egiteko	n	eus-30-14418395-n
arazo	11	Euskal Herrian jendeak ezagutzen du arazoa, baina Estatu frantsesean edo espainiarrean gertatzen denean ez dute batere gustuko	n	eus-30-14410605-n
tentsio	12	Montenegron tentsio handia eragin dezake Milosevicen bisitak	n	eus-30-14410089-n
istilu	24	batean lesioa zela tarteko, eta bestean gogoratzeak ere nazka eragiten duen dopin istiluarengatik	n	eus-30-14409489-n
beldur	7	horrenbesteko beldurra ematen dizu urak, Lorea?	n	eus-30-14405931-n
xenofobia	1	Alemaniako Gobernuak eta alderdi politikoetako buruzagiek xenofobiaren aurkako mobilizazioari ekin diote azken egunotan	n	eus-30-14386022-n
arrazoi	11	bururik gabeko probokazioa izan da haren bisita, arrazoietara itzultzeko eskatu die israeldar eta palestinarrei	n	eus-30-14379829-n
estres	1	txarretan, esaten dut dena utzi eta joango nintzatekeela artzain Urbiara, hemengo presak eta estresak utzita	n	eus-30-14375890-n
tentsio	6	tentsioa eta nerbioak uxatzeko, Oronozera joanen da gaur plantilla igandera arte	n	eus-30-14375890-n
hemorragia	1	aspirina gehiegiz gorputza ondoezik geratzen denean, gehienetan urdaileko mina sentitzen da, oka egiteko gogoa, ahoan hemorragiak, bai betilean ere, pulsoa bizkortzen da, gorputza izertzen, aurpegia moretzen, amets alfer asko egiten	n	eus-30-14288235-n
min	5	erdilari nafarrak min apur bat nabaritu zuen herenegun arratsaldean, baina ez zion garrantzirik eman	n	eus-30-14322699-n
epai	7	Aierbek, ordea, 60 ontzako bi enborretako epaiak itxi egin zituen, segundo asko galdu zuen	n	eus-30-14287113-n
lesio	4	ilusio handiz dago belaunean izan zuen lesio larria gainditu ondoren	n	eus-30-14285662-n
minbizi	1	minbizia gainditu ostean lortu baititu garaipenik handiena	n	eus-30-14239918-n
min	11	erdilari nafarrak min apur bat nabaritu zuen herenegun arratsaldean, baina ez zion garrantzirik eman	n	eus-30-14213199-n
min	8	erdilari nafarrak min apur bat nabaritu zuen herenegun arratsaldean, baina ez zion garrantzirik eman	n	eus-30-14055408-n
infekzio	1	ongi desinfektatu behar ditugu zauriak infekziorik ez izateko	n	eus-30-14174549-n
apendizitis	1	inkomunikatuta egin diote apendizitis ebakuntza Atarrabian atxilotutako gazte bati	n	eus-30-14258512-n
asma	1	asmak jo ninduen, eta han gelditu nintzen erdi itota	n	eus-30-14145911-n
gripe	1	hotza egiten hasi zen eta gripea harrapatu nuen	n	eus-30-14122497-n
afasia	1	ez da estrategia amankomunik erabiltzen afasiaren diagnostikoan	n	eus-30-14097574-n
gaitz	3	HIESa sendatu ez, baina gaitz kroniko bihur daitekeela esan dute	n	eus-30-14061805-n
sasoi	7	Lopez de Muniain, Mikel Artetxe eta Mikel Pradera sasoi betean daude	n	eus-30-14049711-n
su	17	Peiok sutan erantzun zion irakasleari	n	eus-30-14036539-n
lo	2	goizaldera, ordea, lo sakon batek harrapatu bide zuen, iratzargailuak jo zuenean	n	eus-30-14024882-n
burujabetza	1	EHren ekimenen ardatzak lurraldetasuna eta burujabetza direla nabarmendu zuten	n	eus-30-13992935-n
subiranotasun	1	Euskal Herriaren subiranotasuna lortu beharra eta egungo markoaren balio eza aldarrikatzen dituelako	n	eus-30-13992935-n
autonomia	1	iragarri zuen bere armak erabileratik at uzteko asmoa zuela eta egun horretan bertan Ipar Irlandako autonomia berriro ezartzeko agindua eman zuen Londresek	n	eus-30-13992514-n
independentzia	2	Euskal Herriko independentzia eta sozialismoaren eraikuntzan beharrezkoa ikusten dugu euskaldun guztien partaidetza	n	eus-30-13994148-n
